text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
All of the following pass between the medial and lateral pterygoid muscles EXCEPT:,Lingual nerve,Inferior alveolar nerve,Buccal nerve,Chorda tympani,3,"The infratemporal fossa contains important neurovascular structures that course between the medial and lateral pterygoid muscles. The lingual nerve and inferior alveolar nerve descend in this interval, and the chorda tympani joins the lingual nerve in this space to carry parasympathetic fibers to the submandibular ganglion and taste fibers to the anterior tongue. The buccal nerve, however, passes between the two heads of the lateral pterygoid, not between medial and lateral pterygoids. High-yield review: Between medial & lateral pterygoids → lingual nerve, inferior alveolar nerve, chorda tympani. Through heads of lateral pterygoid → buccal nerve. Clinical: inferior alveolar block is given in this region near the mandibular foramen.",7,,
"Which structure suspends the small intestine from the posterior abdominal wall and conveys its vessels, lymphatics, and nerves?",Greater omentum,Lesser omentum,Mesentery,Transverse mesocolon,3,"The mesentery is a double layer of peritoneum that suspends the jejunum and ileum from the posterior abdominal wall. It provides a conduit for branches of the superior mesenteric vessels, lymphatics, and autonomic nerves to reach the intestines. In contrast, the greater and lesser omenta attach to the stomach, and the transverse mesocolon suspends the transverse colon. High-yield review: Mesentery proper suspends jejunum + ileum. Omenta—greater = stomach to transverse colon, lesser = stomach to liver. Mesocolons anchor colon. Clinical: mesenteric ischemia results from compromise of SMA branches.",7,,
The first four right posterior intercostal veins drain into which vein?,Hemiazygos vein,Accessory hemiazygos vein,Right superior intercostal vein → azygos vein,Left brachiocephalic vein,3,"On the right side, the first posterior intercostal vein drains into the brachiocephalic vein. The 2nd–4th posterior intercostal veins unite to form the right superior intercostal vein, which then drains into the azygos vein. The remaining right posterior intercostal veins drain directly into the azygos vein. On the left side, drainage is via the accessory hemiazygos and hemiazygos veins into the azygos. High-yield review: Right 1st = brachiocephalic. Right 2nd–4th = right superior intercostal → azygos. Right 5th–11th = directly to azygos. Clinical: azygos system provides collateral between SVC and IVC.",7,,
Which connective tissue layer surrounds multiple fascicles of a peripheral nerve?,Endoneurium,Perineurium,Epineurium,Myelin sheath,3,"Peripheral nerves are organized into layers of connective tissue. The endoneurium surrounds individual axons (and their Schwann cell myelin sheaths). Multiple axons are bundled into fascicles, which are encased by the perineurium — a specialized barrier that also maintains the blood–nerve barrier. Finally, multiple fascicles are grouped together and surrounded by the epineurium, the outermost connective tissue sheath, which contains blood vessels and provides overall protection and tensile strength to the nerve. High-yield review: Endoneurium—around individual axons. Perineurium—around fascicles (blood–nerve barrier). Epineurium—around multiple fascicles (whole nerve). Clinical: Schwannomas arise from Schwann cells (endoneurium level); perineurium important in local anesthesia spread.",7,,
Which of the following is a function of Clara (club) cells in the bronchioles?,Secrete surfactant phospholipids for alveolar expansion,Secrete protective proteins and mucous-like material in bronchioles,Provide structural support for alveoli,Form tight junctions to prevent alveolar collapse,2,"Clara cells, also called club cells, are non-ciliated, dome-shaped epithelial cells located in the terminal bronchioles. They secrete protective proteins, glycosaminoglycans, and a mucous-like material that helps maintain bronchiolar lining integrity. They also detoxify harmful substances via cytochrome P450 enzymes, act as progenitor cells for bronchiolar epithelium, and contribute to local immune defense. Unlike type II pneumocytes, Clara cells do not produce alveolar surfactant, but their secretions help reduce surface tension in smaller airways. High-yield review: Location—bronchioles. Function—secrete protective proteins and mucous-like fluid, detoxify toxins, progenitor cells. Differentiate: Type II pneumocytes—surfactant; Goblet cells—mucus in larger bronchi/trachea. Clinical—loss of Clara cells linked to toxic lung injury and chronic inflammation.",7,,
A 45-year-old obese patient presents with shoulder pain. Which of the following nerves is most directly responsible for motor innervation of the deltoid and sensory innervation over the lateral shoulder?,Axillary nerve (C5–C6),Musculocutaneous nerve (C5–C7),Radial nerve (C5–T1),Ulnar nerve (C8–T1),1,"The axillary nerve arises from the posterior cord of the brachial plexus (C5–C6). It innervates the deltoid and teres minor muscles and provides cutaneous sensation over the lateral shoulder (the regimental badge area). Injury can occur with surgical neck fractures of the humerus or anterior shoulder dislocation. High-yield review: Axillary nerve—posterior cord, C5–C6. Motor: deltoid and teres minor. Sensory: lateral shoulder skin. Injury: surgical neck fracture, shoulder dislocation, compression.",7,,
"Which part of the brachial plexus gives rise to the terminal branches Musculocutaneous, Axillary, Radial, Median, and Ulnar nerves (MARMU)?",Roots,Trunks,Cords,Terminal branches,4,"The brachial plexus is organized as roots (C5–T1), trunks (upper, middle, lower), divisions (anterior and posterior), cords (lateral, medial, posterior), and terminal branches. The terminal branches are the most distal part of the plexus and include Musculocutaneous, Axillary, Radial, Median, and Ulnar nerves (MARMU). High-yield review: Roots → trunks → divisions → cords → terminal branches. Terminal branches innervate the major muscles and cutaneous regions of the upper limb.",7,,
Which of the following best describes enamel tufts?,"Hypocalcified, protein-rich structures projecting from the DEJ into enamel",Microscopic cracks that traverse the full thickness of enamel from surface toward the DEJ,Trapped odontoblastic processes that extend a short distance into enamel,Surface furrows seen cervically on erupted enamel,1,"Enamel tufts are hypomineralized, protein-rich brush-like structures that originate at the dentinoenamel junction (DEJ) and project a short distance into enamel. They arise along prism boundaries where mineralization is incomplete and serve to dissipate stress, preventing enamel fracture. They are associated with gnarled enamel and Hunter–Schreger bands, both of which reflect decussation of enamel prisms. Option 2 describes enamel lamellae, which are cracks or faults that extend from the enamel surface toward the DEJ. Option 3 describes enamel spindles, which are trapped odontoblastic processes at the DEJ. Option 4 describes perikymata, surface furrows related to Lines of Retzius. High-yield review: Tufts = DEJ origin, protein-rich, hypomineralized, stress-dissipating structures.",7,,
Enamel spindles are formed by which of the following?,Trapped odontoblastic processes that extend across the DEJ into enamel,Protein-rich hypocalcified defects arising at the DEJ that project into enamel,Leaf-like cracks extending from enamel surface toward the DEJ,Incremental growth lines running obliquely through enamel,1,"Enamel spindles form when odontoblastic processes from dentin cross the DEJ and become trapped in enamel during development. They appear as short, linear structures near cusp tips and should not be confused with other enamel defects. Option 2 refers to enamel tufts, hypocalcified, protein-rich projections from the DEJ. Option 3 describes enamel lamellae, cracks that can extend through the enamel thickness. Option 4 refers to Lines of Retzius, incremental growth lines in enamel. High-yield review: Spindles = odontoblast processes trapped in enamel; Tufts = hypomineralized protein-rich DEJ projections; Lamellae = cracks from surface inward.",7,,
Enamel lamellae differ from tufts and spindles because they are best described as:,"Hypocalcified, protein-rich projections that arise from the DEJ",Trapped odontoblastic processes located just inside enamel,Leaf-like faults or cracks that extend from the enamel surface toward the DEJ,External cervical furrows representing incremental growth,3,"Enamel lamellae are thin, leaf-like cracks or faults that typically originate at the enamel surface and extend toward the DEJ. They may cross into dentin and can be developmental (areas of incomplete prism maturation) or acquired (post-eruptive microcracks). They are significant because they can serve as pathways for caries spread. Option 1 describes enamel tufts, protein-rich defects at the DEJ. Option 2 describes enamel spindles, odontoblast processes trapped at the DEJ. Option 4 describes perikymata, surface furrows related to enamel growth lines. High-yield review: Lamellae = surface-origin cracks through enamel, potential caries pathways; Tufts = DEJ defects; Spindles = trapped odontoblasts.",7,,
