text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
"Gutta-percha, the standard root canal filling material in endodontics, is primarily derived from what natural source?",Petroleum resin,Tree sap (trans-polyisoprene),Calcium silicate cement,Zinc oxide–eugenol paste,2,"<b>Gutta-percha</b> is derived from the <b>sap of tropical Palaquium trees</b>. Its core polymer is <b>trans-polyisoprene</b>, a natural rubber-like material. In dentistry, gutta-percha cones are a composite of ~20% gutta-percha resin, ~60–75% zinc oxide, metal sulfates for radiopacity, and waxes/resins for handling.<br><br>It is biologically inert, radiopaque, and thermoplastic, making it ideal for obturation, though it requires a sealer to bond with dentin.<br><br><b>High-yield recap:</b><br>- Natural origin = <b>tree sap</b><br>- Core = trans-polyisoprene<br>- Dental cones = gutta-percha + zinc oxide + additives",11,,
"During cleaning and shaping of root canals, why is the smear layer typically removed?",To prevent weakening of dentin,To enhance penetration of irrigants and sealers into dentinal tubules,To reduce fracture risk of endodontic instruments,To increase radiographic density of obturation material,2,"The <b>smear layer</b> is a thin film of debris formed during instrumentation, containing dentin particles, pulp remnants, and bacteria. It can harbor infection and block dentinal tubules.<br><br>Removal (commonly with <b>NaOCl + EDTA</b>) allows irrigants and sealers to penetrate dentinal tubules, improving disinfection and sealing quality.<br><br><b>High-yield recap:</b><br>- Smear layer blocks irrigant/sealer penetration<br>- Removed with NaOCl (organic) + EDTA (inorganic)<br>- Improves hermetic seal and reduces reinfection",11,,
Which tooth root is most likely to contain two canals?,Distal root of mandibular first molar,Mesial root of mandibular first molar,Palatal root of maxillary first molar,Distobuccal root of maxillary second molar,2,"The <b>mesial root of the mandibular first molar</b> is the root most likely to have two canals (mesiobuccal and mesiolingual). Studies show >90% prevalence, though canals may remain separate or merge apically.<br><br>By contrast:<br>- Distal root of mandibular first molar: usually one wide canal, occasionally two.<br>- Palatal root of maxillary first molar: typically one large canal.<br>- Distobuccal root of maxillary molars: almost always one canal.<br><br><b>High-yield recap:</b><br>- Most common site of 2 canals = mesial root of mandibular first molar<br>- MB + ML canals, >90% prevalence<br>- Key to avoid missed canals and endo failure",11,,
Adjusting the projection cone mesially during endodontic treatment may be indicated for:,Improving the tactile sensation of files within the canal to reduce risk of fracture,Obtaining a more accurate working length measurement by reducing image distortion,"Separating superimposed canals or roots on a radiograph, such as distinguishing mesiobuccal and mesiolingual canals of a mandibular molar",Increasing radiographic density to enhance visualization of obturation materials,3,"When roots or canals overlap in straight radiographs, the cone can be shifted mesially or distally, using the <b>SLOB rule (Same Lingual, Opposite Buccal)</b>. This separates superimposed structures, revealing hidden canals (e.g., MB vs ML canals of mandibular molars, or MB2 in maxillary molars).<br><br>Incorrect options:<br>- File sensation and fracture risk are mechanical, not radiographic issues.<br>- Working length accuracy relies on apex locators and straight radiographs.<br>- Radiographic density is exposure-related, not cone angulation.<br><br><b>High-yield recap:</b><br>- Tube shift mesially = separates superimposed roots/canals<br>- Applies the SLOB rule<br>- Key for identifying extra canals and avoiding missed anatomy",11,,
What is the recommended treatment plan for a patient who presents with a primary endodontic lesion with secondary periodontal involvement?,"Periodontal therapy (scaling and root planing) first, then root canal treatment","Root canal therapy first, followed by periodontal therapy if needed",Simultaneous endodontic and periodontal therapy at the initial appointment,"Extraction of the tooth, as prognosis is always poor",2,"Endo-perio lesions are classified by origin. A <b>primary endodontic lesion</b> begins in the pulp, spreads to periradicular tissues, and can secondarily involve the periodontium.<br><br>Treatment: Always perform <b>root canal therapy first</b> because pulpal infection drives the process. After RCT, the periodontal status is reevaluated. Often, the perio component improves once the endodontic source is eliminated. If not, periodontal therapy follows.<br><br><b>High-yield recap:</b><br>- Primary endo → secondary perio = <b>RCT first, then perio</b><br>- Extraction is not indicated unless prognosis is poor",11,,
"In endodontic diagnosis, what is the primary purpose of palpation testing?",To assess pulp vitality by stimulating nerve endings in the pulp,To evaluate periradicular inflammation and cortical bone expansion,To determine the presence of vertical root fractures,To identify canal curvature before instrumentation,2,"<b>Palpation testing</b> involves applying firm pressure over the mucosa near the root apex. It does not test pulp vitality but rather evaluates the <b>periapical tissues and cortical bone</b>.<br><br>A positive response indicates <b>periradicular inflammation</b> or <b>cortical bone expansion</b>. This test complements percussion (periodontal ligament inflammation) and pulp vitality tests.<br><br><b>High-yield recap:</b><br>- Palpation = periapical tissues, not pulp<br>- Positive = tenderness, swelling, cortical expansion<br>- Used with percussion, vitality, and radiographs",11,,
What type of bacteria are most commonly associated with primary endodontic infections?,Facultative aerobes such as Streptococcus mutans,"Obligate anaerobes, predominantly Gram-negative rods",Fungi such as Candida albicans,Viruses such as Epstein–Barr virus,2,"Primary endodontic infections occur in necrotic pulp where oxygen is depleted. This favors colonization by <b>obligate anaerobic bacteria</b>, especially <b>Gram-negative rods</b> and spirochetes such as <i>Porphyromonas, Prevotella, Fusobacterium, Treponema</i>.<br><br>These organisms produce enzymes and endotoxins that cause periapical inflammation and bone resorption.<br><br><b>High-yield recap:</b><br>- Primary lesions = obligate anaerobes (Gram-negative)<br>- Thrive in necrotic pulp<br>- Responsible for abscesses and radiolucencies",11,,
Which microorganisms are most often implicated in secondary endodontic infections (persistent/recurrent after treatment)?,Enterococcus faecalis,Staphylococcus aureus,Lactobacillus acidophilus,Pseudomonas aeruginosa,1,"Secondary endodontic infections develop after root canal treatment due to persistent or reintroduced microbes. The most common is <b>Enterococcus faecalis</b>, a facultative anaerobe that:<br>- Survives in nutrient-poor canals<br>- Tolerates high pH, resisting calcium hydroxide<br>- Forms resilient biofilms on dentin<br><br>Other possible organisms include <i>Candida albicans</i>, but <b>E. faecalis</b> is the hallmark.<br><br><b>High-yield recap:</b><br>- Secondary infection = <b>E. faecalis</b><br>- Main cause of post-treatment endodontic failure",11,,
Which of the following best describes the desirable properties of an ideal endodontic root-end filling material?,"Radiopaque, resorbable, soluble, and cytotoxic","Radiolucent, biocompatible, dimensionally unstable, and moisture-sensitive","Radiopaque, biocompatible, dimensionally stable, and provides an effective seal","Radiolucent, inexpensive, and requires no sealer for adaptation",3,"An ideal root-end filling material must create a hermetic seal and be compatible with periapical tissues.<br><br><b>Desirable properties:</b><br>- <b>Biocompatibility</b>: non-toxic to tissues<br>- <b>Radiopacity</b>: distinguishable on radiographs<br>- <b>Dimensional stability</b>: no shrinkage or expansion<br>- <b>Insolubility</b>: resists dissolution in fluids<br>- <b>Excellent sealing</b>: prevents bacterial leakage<br>- <b>Promotes healing</b>: e.g., MTA and bioceramics encourage cementogenesis<br><br>Incorrect options: solubility, radiolucency, and cytotoxicity are unacceptable.<br><br><b>High-yield recap:</b><br>- Root-end filling must be <b>biocompatible, radiopaque, dimensionally stable, insoluble, and sealing</b><br>- <b>MTA</b> is the gold standard",11,,
All of the following are indications for periapical surgery (apicoectomy) EXCEPT:,Persistent periapical pathology despite technically adequate root canal treatment,Anatomical obstructions such as calcified canals or root dilacerations preventing complete debridement,"Iatrogenic complications (e.g., separated instrument, perforation) not amenable to nonsurgical retreatment","Endodontic failure, without attempting nonsurgical retreatment first",4,"Periapical surgery is indicated only when nonsurgical retreatment is not feasible. If root canal treatment has failed, the first line of management is <b>nonsurgical retreatment</b> whenever possible.<br><br><b>Retreatment is indicated when:</b><br>- Previous obturation is inadequate<br>- Coronal leakage is suspected<br>- Missed canals can be re-accessed<br>- Instruments and canal anatomy permit re-treatment<br><br><b>Apicoectomy is indicated when:</b><br>- Obstructions prevent nonsurgical cleaning (calcification, dilaceration)<br>- Iatrogenic factors (separated instrument, post) cannot be corrected<br>- Persistent pathology despite adequate retreatment<br><br>Thus, <b>endodontic failure alone is not an automatic indication</b> for surgery. Standard sequence: RCT → Retreatment (if possible) → Apicoectomy if retreatment is not feasible or has failed.",11,,
