text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
"A patient presents with a fracture of the right mandibular condyle. When opening the mouth, to which side will the mandible deviate?",To the right (fractured) side,To the left (uninjured) side,Straight forward without deviation,Alternating deviation with each opening attempt,1,"<b>Mandibular Deviation After Condylar Fracture</b><br><br>During mouth opening, both condyles normally translate forward and downward along the articular eminences. A <b>fractured condyle</b> cannot move properly due to mechanical obstruction or pain.<br><br>As a result, the contralateral condyle moves normally while the fractured side remains restricted, causing the mandible to <b>deviate toward the fractured side</b> upon opening.<br><br><b>Summary of patterns:</b><br>- Condylar fracture or ankylosis → deviation <b>toward</b> affected side<br>- Lateral pterygoid spasm or hyperactivity → deviation <b>away</b> from affected side<br><br><b>High-yield recap:</b><br>- Deviation toward fractured/restricted side<br>- Due to limited condylar translation on that side<br>- Common finding in unilateral condylar fractures",13,,
"A 27-year-old patient presents 3 days after extraction of the mandibular third molar with severe pain radiating to the ear and a foul odor. On examination, the socket is empty with exposed bone and no blood clot. Which of the following best describes the underlying cause of this condition?",Bacterial infection leading to acute osteomyelitis,Dislodgement of the blood clot due to negative pressure,Premature fibrinolysis of the blood clot within the socket,Secondary intention healing with delayed granulation tissue,3,"<b>Alveolar Osteitis (Dry Socket)</b><br><br>Alveolar osteitis is a painful post-extraction complication that occurs when the <b>blood clot is lost or lysed prematurely</b>. The exposed alveolar bone becomes inflamed and extremely sensitive, usually developing <b>2–4 days post-extraction</b>, most often in the mandibular third molar area.<br><br>The pathophysiology involves <b>fibrinolysis of the blood clot</b> by the enzyme plasmin, leading to clot disintegration and bone exposure. It is not a true infection but an inflammatory process often secondarily colonized by bacteria.<br><br><b>Predisposing factors:</b> difficult extraction, smoking, oral contraceptives, and poor irrigation.<br><br><b>Management:</b> irrigation with saline or chlorhexidine, medicated eugenol dressing, and analgesics — <b>antibiotics are not indicated unless infection is suspected</b>.<br><br><b>High-yield recap:</b><br>- Cause: premature fibrinolysis of clot<br>- Timing: 2–4 days post-extraction<br>- Common site: mandibular third molars<br>- Treatment: local irrigation + analgesic dressing",13,,
A 50-year-old patient requires placement of two adjacent implants in the mandibular anterior region. What is the minimum recommended distance between the two implant fixtures to preserve the interimplant bone crest?,1 mm,2 mm,3 mm,4 mm,3,"<b>Interimplant Spacing</b><br><br>To maintain the interimplant bone crest and papilla, a minimum of <b>3 mm</b> should separate adjacent implant fixtures. Placing implants closer than this (<2 mm) risks overlapping bone remodeling zones, leading to <b>crestal bone loss and papilla loss</b>.<br><br><b>Other key measurements:</b><br>- Implant–tooth distance: 1.5–2 mm<br>- Implant–implant distance: 3 mm<br><br>These clearances preserve the vascular supply and support soft tissue stability between adjacent restorations.",13,,
"When planning implant placement in the mandibular molar region, what is the minimum safety distance that should be maintained from the superior border of the inferior alveolar nerve canal?",1 mm,2 mm,3 mm,5 mm,2,"<b>Implant–Vital Structure Clearance</b><br><br>A <b>minimum 2 mm safety zone</b> must be maintained between the apex of an implant and the superior border of the <b>inferior alveolar canal (IAC)</b> to avoid nerve damage. This accounts for drilling tolerance and natural remodeling.<br><br><b>Additional guidelines:</b><br>- Mental foramen: maintain at least 5 mm anterior clearance<br>- Maxillary sinus: at least 1 mm clearance, or sinus lift if inadequate<br>- Buccal/lingual bone: at least 1 mm on each side for cortical support<br><br><b>High-yield recap:</b><br>- IAC: 2 mm clearance<br>- Mental foramen: 5 mm anterior<br>- Sinus: ≥1 mm clearance<br>- Buccal/lingual wall: ≥1 mm each side",13,,
A CBCT scan shows that a patient has 2 mm of buccal bone and 1 mm of lingual bone at the intended implant site. What should be the minimum bone thickness surrounding an implant to ensure long-term success?,0.5 mm on each side,1 mm on both buccal and lingual sides,2 mm on each side,No specific requirement if bone density is adequate,2,"<b>Buccal and Lingual Bone Thickness</b><br><br>For optimal implant stability and esthetics, at least <b>1 mm of bone</b> should remain on both buccal and lingual (or palatal) sides of the implant. Insufficient cortical thickness increases the risk of <b>bone resorption</b>, <b>implant thread exposure</b>, and <b>soft tissue recession</b>.<br><br>In esthetic areas such as the anterior maxilla, maintaining >1 mm buccal bone is critical to avoid gray shine-through and to preserve the gingival contour.<br><br><b>Rule of thumb:</b> ridge width should equal implant diameter + 2 mm (1 mm on each side). If deficient, perform guided bone regeneration or ridge augmentation prior to implant placement.",13,,
"A 28-year-old male presents after a motor-vehicle accident with facial elongation, bilateral periorbital ecchymosis, and mobility of the entire midface when grasped at the maxillary teeth. Which of the following best describes this injury pattern?",Le Fort I fracture — horizontal fracture separating the maxilla from the nasal floor,Le Fort II fracture — pyramidal fracture involving the nasal bridge and infraorbital rims,Le Fort III fracture — craniofacial disjunction with separation of the entire midface from the skull base,Zygomaticomaxillary complex fracture — isolated fracture of the zygomatic arch and orbital rim,3,"<b>Le Fort Fractures</b><br><br>Le Fort fractures are mid-facial fractures involving the maxilla and surrounding structures. They are classified into three horizontal planes based on severity.<br><br><b>Le Fort I – 'Floating palate' (Horizontal):</b> Runs above the apices of the teeth through the nasal floor, lateral maxillary sinus walls, and pterygoid plates, separating the alveolar process and hard palate from the face.<br><br><b>Le Fort II – 'Pyramidal':</b> Extends from the nasal bridge through the medial orbital walls and infraorbital rims to the pterygoid plates, forming a pyramidal shape. Signs: raccoon eyes, infraorbital step deformity, midface mobility.<br><br><b>Le Fort III – 'Craniofacial disjunction':</b> The most severe form, separating the entire midface from the skull base via the nasofrontal suture, orbital walls, and zygomatic arches. Signs: facial elongation, CSF rhinorrhea, airway compromise.<br><br><b>High-yield recap:</b><br>- Le Fort I → Horizontal (palate)<br>- Le Fort II → Pyramidal (nasal + infraorbital)<br>- Le Fort III → Craniofacial disjunction<br>- Treatment: ORIF and airway management.",13,,
Cleft lip results from a failure of fusion between which of the following embryologic structures?,Lateral nasal and medial nasal prominences,Medial nasal and lateral palatine processes,Medial nasal and maxillary prominences,Maxillary and mandibular prominences,3,"<b>Cleft Lip and Palate</b><br><br>A cleft lip occurs due to failure of fusion between the <b>medial nasal prominence</b> and the <b>maxillary prominence</b> during weeks 4–7 of development. This fusion forms the upper lip and primary palate.<br><br>The medial nasal processes form the philtrum and premaxilla, while the maxillary processes form the upper cheeks and lateral lip. When fusion fails, a <b>cleft lip</b> develops—unilateral, bilateral, or rarely median if both medial nasal prominences fail to fuse.<br><br>A <b>cleft palate</b> occurs later (weeks 7–10) when the <b>lateral palatine shelves</b> fail to fuse, creating a communication between oral and nasal cavities.<br><br><b>Associated Syndromes:</b><br>- Van der Woude syndrome → IRF6 mutation, lower lip pits<br>- Pierre Robin sequence → micrognathia, glossoptosis, airway obstruction, U-shaped cleft palate<br>- Treacher Collins syndrome → mandibulofacial dysostosis with cleft palate<br>- 22q11 deletion (DiGeorge/Velocardiofacial) → cardiac defects, palatal abnormalities, thymic hypoplasia<br>- Holoprosencephaly → median cleft lip with midline brain defect<br><br><b>High-yield recap:</b><br>- 🧬 Cleft lip: medial nasal + maxillary fusion failure (4–7 weeks)<br>- 🧬 Cleft palate: palatine shelf fusion failure (7–10 weeks)<br>- ⚕️ Key syndromes: Van der Woude, Pierre Robin, Treacher Collins, 22q11 deletion, Holoprosencephaly<br>- 🍼 Surgical repair: around 3 months (Rule of 10s: ≥10 weeks, ≥10 lbs, Hb ≥10 g/dL)",13,,
Which salivary gland is most commonly affected by sialolith formation?,Parotid gland,Submandibular gland,Sublingual gland,Minor salivary glands,2,"<b>Sialolithiasis</b> is the formation of calcified deposits (salivary stones) within the ducts of the salivary glands. It presents clinically with <b>intermittent swelling and pain that worsen during meals</b> — the classic “mealtime syndrome.”<br><br><b>Most affected gland:</b><br>The <b>submandibular gland</b> is involved in <b>80–90%</b> of cases. The <b>parotid gland</b> accounts for about 5–10%, while the <b>sublingual</b> and <b>minor salivary glands</b> are rarely affected.<br><br><b>Why the submandibular gland is most affected:</b><br>- Its excretory duct, <b>Wharton’s duct</b>, follows a <b>long, tortuous, upward path</b> that slows salivary drainage.<br>- <b>Submandibular saliva</b> is <b>more alkaline, more mucinous</b>, and richer in <b>calcium and phosphate</b>, favoring stone formation.<br>- The gland’s dependent position allows <b>stasis of saliva</b>, especially with dehydration.<br><br><b>Clinical features:</b><br>- Pain and swelling during meals, resolving between episodes.<br>- A <b>firm nodule</b> may be palpable in the floor of the mouth.<br>- Chronic obstruction can lead to <b>sialadenitis</b> (infection).<br><br><b>Diagnosis and management:</b><br>- <b>Radiographs or ultrasound</b> confirm the stone (most submandibular stones are radiopaque).<br>- <b>Hydration, sialogogues, massage</b>, and warm compresses aid small stone clearance.<br>- <b>Sialolithotomy or sialendoscopy</b> for persistent cases.<br><br><b>High-yield recap:</b><br>🧊 Most common gland — <b>Submandibular</b>.<br>⚙️ Cause — <b>Thick alkaline saliva + upward duct</b>.<br>🍋 Symptoms — <b>Pain/swelling at meals</b>.<br>💊 Treatment — <b>Hydration, sialogogues, surgery if needed</b>.",13,,
"A patient sustains a traumatic blow to the right side of the mandible, resulting in a fracture of the right mandibular body. Which of the following additional fractures is most likely present?",Right condyle,Left condyle,Left coronoid process,Right ramus,2,"<b>Explanation:</b><br>The mandible acts as a ring—force applied at one point often causes a secondary fracture at another. A blow to the <b>right body</b> transmits force posteriorly and across the symphysis to the contralateral side. This stress concentrates at the <b>left condylar neck</b>, leading to a fracture there.<br><br><b>High-yield recap:</b><br>- Mandible fractures commonly occur in pairs.<br>- Blow to body → contralateral condyle fracture.<br>- Parasymphysis fracture → contralateral condyle fracture.<br>- Symphyseal fracture → bilateral condyles may fracture.",13,,
"After a Le Fort I fracture, the primary branches of the maxillary artery are severed. Which artery continues to supply the maxilla through collateral circulation?",Descending palatine artery,Ascending pharyngeal artery,Facial artery,Superior thyroid artery,2,"<b>Explanation:</b><br>A Le Fort I fracture separates the maxilla from the midface at the nasal floor and pterygoid plates, severing the <b>descending palatine arteries</b> (main supply from the maxillary artery). Collateral flow is maintained primarily by the <b>ascending pharyngeal artery</b>, a branch of the external carotid, which sends pharyngeal and palatine branches that anastomose with remnants of the maxillary and facial arterial networks.<br><br><b>High-yield recap:</b><br>✅ Normal supply: descending palatine artery.<br>✅ After Le Fort I fracture: ascending pharyngeal provides collateral flow.<br>🚫 Ascending pharyngeal is not a major source in intact anatomy but becomes important after transection.<br>🩸 Clinical: maintain collateral perfusion for osteotomy or fracture healing.",13,,
