text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
"A 42-year-old woman presents with progressive weight gain, particularly around the trunk and face. She reports easy bruising, new-onset hypertension, and muscle weakness. On exam, she has a round “moon” face, supraclavicular fat pads, and purple abdominal striae.",Addison’s disease,Cushing’s disease,Hypothyroidism,Acromegaly,2,"Cushing’s disease is a form of Cushing’s syndrome that results specifically from an ACTH-secreting pituitary adenoma. The pathophysiology involves excess ACTH production, which overstimulates the adrenal cortex to secrete high levels of cortisol. In laboratory findings, patients typically demonstrate elevated cortisol and elevated ACTH. Classic features include central (truncal) obesity, moon facies, and a dorsocervical fat pad (“buffalo hump”), along with purple striae and easy bruising due to protein catabolism and impaired collagen synthesis. This hormone pattern is crucial in distinguishing Cushing’s disease from other causes of hypercortisolism: adrenal tumors (high cortisol with suppressed ACTH), ectopic ACTH production (very high ACTH and cortisol with abrupt onset and possible hypokalemia), and exogenous glucocorticoid use (high cortisol, suppressed ACTH, adrenal atrophy).",3,,
Mastoid ecchymosis (Battle’s sign) is most commonly associated with which type of skull fracture?,Depressed skull fracture,Linear parietal fracture,Basilar skull fracture,Temporal bone fracture only,3,"<b>Explanation:</b><br><b>Battle’s sign</b> refers to postauricular ecchymosis (bruising over the mastoid process) due to extravasation of blood from a <b>basilar skull fracture</b> involving the <b>temporal bone</b>.<br><br>This finding indicates a fracture through the petrous portion of the temporal bone, often accompanied by <b>CSF otorrhea or rhinorrhea</b>, hemotympanum, and cranial nerve deficits (especially CN VII and VIII). Immediate evaluation is warranted due to risk of meningitis and brainstem injury.",3,,
"A 13-year-old boy is evaluated for rapid growth and tall stature far above his peers. He has enlarged hands and feet, excessive sweating, and headaches. Imaging reveals a pituitary mass secreting growth hormone. Which of the following terms best describes his condition?",Acromegaly,Gigantism,Marfan syndrome,Hyperthyroidism,2,"Excess growth hormone (GH) produces different syndromes depending on epiphyseal plate status. Gigantism occurs in children and adolescents before epiphyseal closure, causing excessive linear bone growth and extreme tall stature; patients may also show coarse facial features, large hands and feet, and cardiovascular complications. In contrast, acromegaly occurs in adults after epiphyseal closure, leading to soft tissue and appositional bone growth with coarse facial features, prognathism, enlarged hands/feet, organomegaly, and metabolic disturbances. Both are most commonly due to a GH-secreting pituitary adenoma and are evaluated with elevated IGF-1 levels and failure of GH suppression on oral glucose testing.",3,,
Which of the following best differentiates neoplasia from metaplasia?,Neoplasia is abnormal tissue proliferation; metaplasia is a reversible change of one cell type to another,Neoplasia is always malignant; metaplasia is always benign,Neoplasia involves only epithelial cells; metaplasia involves only connective tissue cells,Neoplasia results in apoptosis; metaplasia prevents apoptosis,1,"Neoplasia refers to new, uncontrolled, and abnormal growth of cells that is not coordinated with normal tissue architecture. It can be benign or malignant but, by definition, persists even after the stimulus is removed. Metaplasia, on the other hand, is a reversible change in which one differentiated cell type is replaced by another that is better able to withstand stress (e.g., squamous metaplasia in the bronchi of smokers, or Barrett’s esophagus where squamous → columnar epithelium). Importantly, metaplasia itself is not malignant but can predispose to dysplasia and eventually neoplasia if the irritant persists. High-yield review: Neoplasia—abnormal proliferation, persists without stimulus, may be benign or malignant. Metaplasia—reversible cell type conversion, adaptive response, may predispose to dysplasia. Clinical correlation: Barrett’s esophagus = intestinal metaplasia → adenocarcinoma risk.",3,,
Which of the following rare renal cancers originates from the collecting ducts of the kidney?,Clear cell carcinoma,Papillary renal carcinoma,Bellini duct carcinoma,Chromophobe carcinoma,3,"Collecting duct carcinoma (also known as Bellini duct carcinoma) is a rare and aggressive renal carcinoma that arises from the epithelial cells of the collecting ducts in the renal medulla. It accounts for less than 1% of renal carcinomas but is clinically significant due to its poor prognosis. Patients often present with hematuria, flank pain, and a palpable mass, similar to other renal carcinomas, but the location in the medulla helps distinguish it. High-yield review: Origin—collecting ducts (Bellini ducts). Aggressive clinical course, poor prognosis. Rare (<1% of renal carcinomas). Mnemonic: “Drinking Bellinis makes you pee” → collecting ducts in the kidney medulla.",3,,
McCune-Albright syndrome is characterized by which of the following triads?,"Polyostotic fibrous dysplasia, café-au-lait spots, endocrine hyperfunction","Monostotic fibrous dysplasia, café-au-lait spots, renal failure","Polyostotic fibrous dysplasia, hypopigmented macules, adrenal insufficiency","Monostotic fibrous dysplasia, neurofibromas, hyperthyroidism",1,"<b>Explanation:</b><br><b>McCune-Albright syndrome</b> is a rare genetic disorder caused by postzygotic activating mutations in the <b>GNAS gene</b>, leading to constitutive activation of Gsα protein and overproduction of cAMP in affected tissues.<br><br>The classic triad includes:<br>• <b>Polyostotic fibrous dysplasia</b> — abnormal fibro-osseous tissue replaces normal bone, leading to deformities and fractures.<br>• <b>Café-au-lait skin macules</b> — irregular (“coast of Maine”) borders.<br>• <b>Endocrine hyperfunction</b> — most commonly precocious puberty, but can also include hyperthyroidism, Cushing’s, or acromegaly.<br><br>This mosaic distribution explains why disease severity varies based on when the mutation occurred during embryogenesis.",3,,
Pheochromocytoma is a tumor arising from which of the following cell types?,Zona glomerulosa cells,Chromaffin cells of the adrenal medulla,Parafollicular C cells of the thyroid,Anterior pituitary corticotrophs,2,"Pheochromocytoma is a neuroendocrine tumor of the adrenal medulla that arises from chromaffin cells, which normally secrete catecholamines (epinephrine, norepinephrine). Excess hormone release leads to episodic hypertension, headaches, palpitations, and sweating—classically described as spells. It is sometimes called the “10% tumor” (10% extra-adrenal, 10% bilateral, 10% malignant, etc.), though this is being revised with newer genetics. Pheochromocytoma is associated with multiple endocrine neoplasia type 2 (MEN2), von Hippel–Lindau disease, and neurofibromatosis type 1. High-yield review: Cell of origin—chromaffin cells (neural crest derived). Hormones—epinephrine/norepinephrine → secondary hypertension. Clinical triad: headache, palpitations, diaphoresis. Associations: NF1, MEN2A/2B, VHL disease. Mnemonic: “Pheo = pressure spikes from catecholamines.”",3,,
Peutz–Jeghers syndrome is characterized by which of the following findings?,Hamartomatous polyps in the colon and melanotic macules on lips,Adenomatous polyps of colon with APC mutation,Sessile serrated adenomas with KRAS mutation,Multiple juvenile polyps with increased risk of adenocarcinoma,1,"Peutz–Jeghers syndrome is an autosomal dominant disorder characterized by multiple hamartomatous polyps in the gastrointestinal tract, especially the small intestine and colon, along with mucocutaneous hyperpigmentation (melanotic macules) on the lips, buccal mucosa, and digits. While the polyps are benign hamartomas, patients have an increased lifetime risk of both GI and extra-GI malignancies, including pancreatic, breast, ovarian, and uterine cancers. High-yield review: Genetics—autosomal dominant, STK11 mutation. Findings—GI polyps + mucocutaneous pigmentation. Cancer risk—GI, pancreas, breast, ovary, uterus.",3,,
Esophageal varices most commonly arise as a complication of which underlying condition?,Portal hypertension from cirrhosis,Gastroesophageal reflux disease (GERD),Mallory–Weiss tear,Peptic ulcer disease,1,"Esophageal varices are dilated submucosal veins in the lower esophagus that form due to portal hypertension, most often from cirrhosis of the liver. Fibrosis and nodular regeneration in cirrhosis increase resistance to portal venous flow, diverting blood through collateral pathways including the left gastric vein into esophageal veins. These fragile varices may rupture, leading to massive hematemesis and hypovolemic shock. Mortality is high with first bleeding episodes. High-yield review: Cause—portal hypertension (cirrhosis). Clinical—hematemesis, shock. Pathology—dilated distal esophageal submucosal veins. Management—band ligation, octreotide, TIPS shunt.",3,,
A 65-year-old man with a history of chronic sun exposure develops a slowly enlarging brown patch on the side of his nose. Biopsy is most consistent with:,Seborrheic keratosis,Lentigo maligna,Basal cell carcinoma,Actinic keratosis,2,"Lentigo maligna is a melanoma in situ that develops on chronically sun-damaged skin, especially of the head and neck in older adults. It appears as a slowly enlarging, asymmetric brown or black patch with irregular borders. Histologically, there is atypical melanocyte proliferation along the basal layer. Without treatment, it may progress to invasive melanoma. High-yield review: Type—melanoma in situ. Location—sun-exposed skin (face, nose, cheeks). Demographic—elderly, fair-skinned. Appearance—irregular pigmented patch. Risk—progression to invasive melanoma if untreated.",3,,
