text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
Which of the following best describes the goal of guided tissue regeneration (GTR) in periodontal therapy?,Promote rapid epithelial migration to close the defect,Encourage bone fill without involving periodontal ligament cells,Replace damaged gingival connective tissue with scar tissue,Use a membrane barrier to allow for periodontal ligament cells to regenerate the attachment apparatus,4,"<b>Guided Tissue Regeneration (GTR)</b><br><br>GTR is a periodontal surgical technique aimed at regenerating the <b>alveolar bone, cementum, and periodontal ligament (PDL)</b> that support the tooth. The procedure uses a <b>barrier membrane</b> to exclude fast-migrating epithelial and gingival connective tissue cells, allowing slower-growing PDL and bone cells to repopulate the defect and establish a <b>true new attachment apparatus</b>.<br><br>Without a barrier, epithelial cells migrate apically and form a <b>long junctional epithelium</b>—a repair process rather than regeneration.<br><br><b>Membrane types:</b><br>- Non-resorbable: ePTFE (requires removal)<br>- Resorbable: collagen, polylactic acid (biodegradable)<br><br><b>High-yield recap:</b><br>- 🎯 Goal: Regenerate PDL, cementum, and bone<br>- 🚫 Avoid: Epithelial down-growth (long junctional epithelium)<br>- 🧱 Method: Barrier membrane to allow selective cell repopulation",16,,
Which of the following periodontal flap procedures involves full reflection of the mucoperiosteum to allow direct access to the alveolar bone for debridement and osseous reshaping?,Partial-thickness flap,Full-thickness flap,Modified Widman flap,Coronally repositioned flap,2,"<b>Explanation:</b><br><br>A <b>full-thickness flap (mucoperiosteal flap)</b> includes <b>epithelium, connective tissue, and periosteum</b> — the entire soft tissue layer overlying bone. It is reflected using <b>a periosteal elevator</b>, giving <b>direct visibility and access to the alveolar bone</b>.<br><br><b>Steps:</b><br>1. Internal bevel incision near the gingival margin.<br>2. Crevicular incision through the base of the pocket.<br>3. Vertical releasing incisions as needed for access.<br>4. Elevate the flap with a periosteal elevator to expose bone and roots.<br><br><b>Uses:</b><br>• Access for scaling and root planing.<br>• Osseous surgery (e.g., recontouring).<br>• Crown lengthening procedures.<br><br><b>Key concept:</b> When bone correction is required, use a <b>full-thickness flap</b>; when bone should remain covered, use a <b>partial-thickness flap</b>.",16,,
"In a partial-thickness (split-thickness) flap, which structure remains intact over the bone?",Gingival epithelium,Connective tissue,Periosteum,Alveolar crest,3,"<b>Explanation:</b><br><br>A <b>partial-thickness flap</b> reflects only the <b>epithelium and a thin layer of connective tissue</b>, leaving the <b>periosteum attached</b> to the bone. Because the bone is not exposed, this technique is less invasive and helps maintain blood supply.<br><br><b>Procedure:</b><br>1. Sharp dissection through epithelium and part of the connective tissue layer.<br>2. No periosteal elevation — the flap slides on top of the periosteum.<br>3. Usually involves vertical incisions for mobility (e.g., apically repositioned procedures).<br><br><b>Indications:</b><br>• Mucogingival surgery (e.g., increasing attached gingiva).<br>• Root coverage or grafting procedures.<br>• When bone exposure could risk resorption.<br><br><b>Summary:</b><br>• <b>Full-thickness:</b> expose bone → osseous surgery.<br>• <b>Partial-thickness:</b> preserve periosteum → mucogingival surgery.",16,,
Which of the following periodontal flap techniques is primarily used to gain access for root debridement while preserving gingival tissue and minimizing recession?,Apically repositioned flap,Modified Widman flap,Papilla preservation flap,Full-thickness flap,2,"<b>Explanation:</b><br><br>The <b>Modified Widman flap</b> is a <i>conservative</i>, step-by-step flap designed for <b>access, not reshaping</b>. It allows cleaning of the root and removal of diseased pocket epithelium — but without significantly changing the gingival margin.<br><br><b>Procedure:</b><br>1. <b>Internal bevel incision</b> 0.5–1 mm from gingival margin toward the bone.<br>2. <b>Crevicular incision</b> along the pocket wall.<br>3. <b>Interdental incision</b> to remove collar of tissue.<br>4. <b>Flap reflection</b> (usually full-thickness, but minimally).<br>5. <b>Thorough debridement</b> and root planing.<br>6. <b>Flap repositioned</b> at the original level and sutured.<br><br><b>Purpose:</b><br>• Reduce inflammation.<br>• Maintain gingival contour and esthetics.<br>• Promote new attachment.<br><br><b>Quick recall:</b> “Widman = Window” → opens a small, clean window to the roots.",16,,
Which of the following flaps is designed to reduce pocket depth and increase the width of attached gingiva by repositioning the gingiva apically?,Papilla preservation flap,Apically repositioned flap,Modified Widman flap,Envelope flap,2,"<b>Explanation:</b><br><br>The <b>apically repositioned flap</b> moves the gingiva <i>toward the apex</i> to eliminate periodontal pockets and expose more attached tissue.<br><br><b>Procedure:</b><br>1. Two parallel horizontal incisions — one at the gingival margin, one at the base of the pocket.<br>2. Two vertical releasing incisions for mobility.<br>3. Flap reflected (full-thickness).<br>4. After debridement and osseous reshaping, flap is sutured in an apical position.<br><br><b>Result:</b><br>• Pocket elimination.<br>• Wider zone of attached gingiva.<br>• Clinical crown lengthening.<br><br><b>Caution:</b> may cause root sensitivity and esthetic compromise in anterior areas.",16,,
Which of the following statements about the vascular supply of periodontal flaps is TRUE?,Blood flow enters primarily through the gingival margin and travels apically.,The major blood supply of a flap is derived from its free gingival edge.,"The blood supply enters at the flap’s base and moves coronally, so a height-to-base ratio greater than 2:1 risks ischemia.",Increasing flap height relative to its base improves perfusion and healing.,3,"<b>Explanation:</b><br><br>The <b>primary blood supply</b> to a periodontal flap originates from the <b>base</b> and travels <b>coronally</b> toward the margin. Because the vessels enter from the base, maintaining an appropriate <b>height-to-base ratio</b> is critical to ensure perfusion and healing.<br><br><b>Key principle:</b><br>- A long, narrow flap has poor vascularity at its tip due to greater distance from the source vessels.<br>- This leads to <b>ischemia</b>, <b>necrosis</b>, and <b>delayed healing</b> at the flap margins.<br><br><b>Optimal surgical design:</b><br>• The <b>height-to-base ratio</b> should be ≤ <b>2:1</b>.<br>• A wider base provides more robust vascular supply.<br>• In smokers, diabetics, or patients with compromised healing, make the base even broader.<br><br><b>Quick recap:</b><br>- Blood flow: <b>Base → Margin</b><br>- Safe ratio: <b>≤ 2:1</b><br>- Too tall or narrow flaps → <b>poor perfusion</b> and <b>necrosis</b>.",16,,
Where should vertical releasing incisions be placed during periodontal flap surgery to minimize gingival recession and preserve the papilla?,Directly through the center of the interdental papilla,At the line angles of teeth to avoid the papilla,Midway between two teeth for better exposure,On the palatal side for improved visualization,2,"<b>Explanation:</b><br><br><b>Vertical releasing incisions</b> are used to provide <b>additional access and mobility</b> during flap reflection. Their placement is crucial to minimize soft tissue trauma and esthetic defects.<br><br><b>Placement guidelines:</b><br>- Make vertical incisions at the <b>line angles of teeth</b> — not through the papilla.<br>- Avoid the <b>palatal or lingual surfaces</b> where neurovascular structures like the <b>greater palatine</b> and <b>lingual arteries</b> are at risk.<br>- Extend incisions <b>beyond the mucogingival junction</b> to release tension and allow safe flap reflection.<br><br><b>Rationale:</b><br>Incising through the interdental papilla can cause <b>loss of papillary height</b>, <b>black triangles</b>, and <b>gingival recession</b>. Placing them at line angles preserves blood supply and promotes predictable healing.<br><br><b>Tip:</b> Think of a vertical incision as a 'hinge release' — it should increase mobility, not damage vital tissue.",16,,
Which of the following combinations correctly matches the type of flap with the instrument used for its reflection?,Full-thickness flap → sharp dissection with scalpel,Partial-thickness flap → blunt dissection with periosteal elevator,Full-thickness flap → blunt reflection using a periosteal elevator,Partial-thickness flap → elevation using tissue forceps only,3,"<b>Explanation:</b><br><br>The choice of instrument depends on whether the flap is <b>full-thickness (mucoperiosteal)</b> or <b>partial-thickness (split)</b>.<br><br><b>Full-thickness flap:</b><br>- Includes <b>epithelium, connective tissue, and periosteum</b>.<br>- Reflected as one layer using <b>blunt dissection</b> with a <b>periosteal elevator</b>.<br>- Provides direct visualization of alveolar bone — ideal for osseous surgery, debridement, and regenerative procedures.<br><br><b>Partial-thickness flap:</b><br>- Includes <b>epithelium and part of connective tissue</b> only; periosteum remains attached to bone.<br>- Created with <b>sharp dissection</b> using a scalpel (e.g., #15 blade).<br>- Used in <b>mucogingival procedures</b> (e.g., grafting, increasing attached gingiva).<br><br><b>Key distinction:</b><br>• <b>Full = blunt reflection</b><br>• <b>Partial = sharp dissection</b><br><br><b>Summary:</b><br>Proper instrument selection ensures controlled tissue handling, reduced trauma, and optimal healing outcomes.",16,,
Which of the following findings best fits the diagnosis of Stage III periodontitis?,"Clinical attachment loss of 1–2 mm, coronal third bone loss <15%, no tooth loss","Clinical attachment loss of 3–4 mm, coronal third bone loss 15–33%, ≤ 5 mm probing depths","Clinical attachment loss ≥ 5 mm, middle third bone loss, and ≥ 5 teeth lost","Clinical attachment loss ≥ 5 mm, middle third bone loss, ≤ 4 teeth lost, probing depths ≥ 6 mm",4,"<b>Explanation:</b><br><br>Stage III periodontitis indicates <b>severe periodontal destruction</b> with <b>deep probing depths ≥ 6 mm</b>, <b>vertical bone loss ≥ 3 mm</b>, and <b>Class II or III furcation involvement</b>, but <b>fewer than 5 teeth</b> lost to disease. Stage IV shares the same severity but adds <b>complex features</b> such as bite collapse, mobility ≥ 2, or fewer than 20 remaining teeth.<br><br><div style='border:1px solid #ddd;border-radius:10px;overflow:hidden;margin:8px 0;'><div style='background:#0f172a;color:#fff;padding:10px 12px;font-weight:600;'>Periodontitis Staging Summary</div><table role='grid' style='width:100%;border-collapse:collapse;font-size:14px;color:#000;'><thead><tr style='background:#111827;color:#fff;'><th style='padding:8px;border:1px solid #ddd;'>Stage</th><th style='padding:8px;border:1px solid #ddd;'>CAL</th><th style='padding:8px;border:1px solid #ddd;'>Bone Loss</th><th style='padding:8px;border:1px solid #ddd;'>Teeth Lost</th><th style='padding:8px;border:1px solid #ddd;'>Complexity</th></tr></thead><tbody><tr style='background:#ffffff;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Stage I</td><td>1–2 mm</td><td>Coronal <15%</td><td>None</td><td>PD ≤ 4 mm</td></tr><tr style='background:#f9fafb;color:#000;'><td>Stage II</td><td>3–4 mm</td><td>Coronal 15–33%</td><td>None</td><td>PD ≤ 5 mm</td></tr><tr style='background:#ffffff;color:#000;'><td>Stage III</td><td>≥ 5 mm</td><td>Middle third</td><td>≤ 4</td><td>PD ≥ 6 mm; furcation II–III</td></tr><tr style='background:#f9fafb;color:#000;'><td>Stage IV</td><td>≥ 5 mm</td><td>Middle/apical third</td><td>≥ 5</td><td>Bite collapse, mobility ≥ 2</td></tr></tbody></table></div>",16,,
A 40-year-old patient has 4 mm of bone loss and reports smoking 15 cigarettes/day. What is the grade of periodontitis?,Grade A – slow progression,Grade B – moderate progression,Grade C – rapid progression,Grade D – refractory periodontitis,3,"<b>Explanation:</b><br><br>Grading reflects the <b>rate of progression</b> and <b>risk factors</b> influencing future breakdown.<br>- % bone loss / age = 4 ÷ 40 = 0.1 → suggests Grade B.<br>- However, <b>smoking ≥ 10 cigarettes/day</b> automatically upgrades the diagnosis to <b>Grade C</b> because of increased risk.<br><br><div style='border:1px solid #ddd;border-radius:10px;overflow:hidden;margin:8px 0;'><div style='background:#0f172a;color:#fff;padding:10px 12px;font-weight:600;'>Periodontitis Grading Summary</div><table role='grid' style='width:100%;border-collapse:collapse;font-size:14px;color:#000;'><thead><tr style='background:#111827;color:#fff;'><th style='padding:8px;border:1px solid #ddd;'>Grade</th><th style='padding:8px;border:1px solid #ddd;'>Progression</th><th style='padding:8px;border:1px solid #ddd;'>% Bone Loss / Age</th><th style='padding:8px;border:1px solid #ddd;'>Smoking</th><th style='padding:8px;border:1px solid #ddd;'>HbA1c (diabetes)</th></tr></thead><tbody><tr style='background:#ffffff;color:#000;'><td>Grade A</td><td>No loss > 5 yrs</td><td>< 0.25</td><td>Non-smoker</td><td>No DM</td></tr><tr style='background:#f9fafb;color:#000;'><td>Grade B</td><td>< 2 mm in 5 yrs</td><td>0.25–1.0</td><td>< 10/day</td><td>< 7.0%</td></tr><tr style='background:#ffffff;color:#000;'><td>Grade C</td><td>≥ 2 mm in 5 yrs</td><td>> 1.0</td><td>≥ 10/day</td><td>≥ 7.0%</td></tr></tbody></table></div>",16,,
