text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
Which of the following correctly matches the cell type with its primary function?,Leydig cells → sperm maturation,Sertoli cells → testosterone production,Granulosa cells → estrogen synthesis,Theca cells → ovulation trigger,3,"The gonads contain specialized supporting cells that regulate gametogenesis and hormone production, controlled by pituitary gonadotropins (LH, FSH).
        •        Males:
        •        Leydig cells (interstitial): Stimulated by LH → produce testosterone, which diffuses into seminiferous tubules. Testosterone is essential for spermatogenesis and development of secondary sex characteristics.
        •        Sertoli cells (within seminiferous tubules): Stimulated by FSH → support developing sperm, form the blood-testis barrier, secrete androgen-binding protein, and release inhibin B to provide negative feedback on FSH. They also produce anti-Müllerian hormone (AMH) during development.
        •        Females:
        •        Granulosa cells: Stimulated by FSH → convert androgens (from theca cells) into estrogens via aromatase. They nurture oocytes and form part of the follicle.
        •        Theca cells: Stimulated by LH → produce androgens and progesterone, important for ovulation and corpus luteum function.

Clinical correlations:
        •        Leydig cell tumors → testosterone excess → precocious puberty in boys.
        •        Sertoli cell tumors → rare, can cause feminization.
        •        Granulosa cell tumors → estrogen excess → abnormal uterine bleeding.

👉 High-yield review:
        •        Leydig → LH → Testosterone.
        •        Sertoli → FSH → Support sperm, Inhibin B, AMH.
        •        Granulosa → FSH → Estrogen (aromatase).
        •        Theca → LH → Progesterone/Androgens.
",6,,
An increase in which of the following pressures would most likely cause water to move into the capillaries from the surrounding interstitial fluid?,Capillary hydrostatic pressure,Interstitial hydrostatic pressure,Plasma oncotic pressure,Capillary permeability,3,"Osmotic pressure refers to the pulling force created by solutes that draws water toward the area of higher solute concentration across a semipermeable membrane. 
Within the vascular system, this concept is represented by oncotic pressure, the portion of osmotic pressure generated specifically by plasma proteins (mainly albumin). 
When plasma oncotic pressure increases, water is drawn into the capillaries, opposing the outward push of hydrostatic pressure.<br><br>
Hydrostatic pressure is the pushing force exerted by blood against vessel walls, driving fluid out of the capillaries. Interstitial hydrostatic pressure typically resists filtration by pushing water back into the capillaries but is normally very low. 
Capillary permeability affects how easily water and solutes move but does not itself pull or push fluid — it modifies how the other forces act.<br><br>
<div style='border:1px solid #ddd;border-radius:10px;overflow:hidden;margin:8px 0;'>
<div style='background:#0f172a;color:#fff;padding:10px 12px;font-weight:600;'>Capillary Fluid Exchange Forces</div>
<table role='grid' style='width:100%;border-collapse:collapse;font-size:14px;color:#000;'>
<thead><tr style='background:#111827;color:#fff;'>
<th style='padding:8px;border:1px solid #ddd;'>Force</th>
<th style='padding:8px;border:1px solid #ddd;'>Type</th>
<th style='padding:8px;border:1px solid #ddd;'>Effect on Fluid</th>
<th style='padding:8px;border:1px solid #ddd;'>Result</th>
</tr></thead>
<tbody>
<tr style='background:#ffffff;color:#000;'>
<td style='padding:8px;border:1px solid #ddd;'>Capillary Hydrostatic Pressure</td>
<td style='padding:8px;border:1px solid #ddd;'>Pushing</td>
<td style='padding:8px;border:1px solid #ddd;'>Pushes fluid out of capillaries</td>
<td style='padding:8px;border:1px solid #ddd;'>Filtration</td>
</tr>
<tr style='background:#f9fafb;color:#000;'>
<td style='padding:8px;border:1px solid #ddd;'>Plasma Oncotic Pressure</td>
<td style='padding:8px;border:1px solid #ddd;'>Pulling</td>
<td style='padding:8px;border:1px solid #ddd;'>Draws fluid into capillaries</td>
<td style='padding:8px;border:1px solid #ddd;'>Reabsorption</td>
</tr>
<tr style='background:#ffffff;color:#000;'>
<td style='padding:8px;border:1px solid #ddd;'>Interstitial Hydrostatic Pressure</td>
<td style='padding:8px;border:1px solid #ddd;'>Pushing (inward)</td>
<td style='padding:8px;border:1px solid #ddd;'>Opposes filtration</td>
<td style='padding:8px;border:1px solid #ddd;'>Minor effect</td>
</tr>
<tr style='background:#f9fafb;color:#000;'>
<td style='padding:8px;border:1px solid #ddd;'>Interstitial Osmotic Pressure</td>
<td style='padding:8px;border:1px solid #ddd;'>Pulling (outward)</td>
<td style='padding:8px;border:1px solid #ddd;'>Draws fluid out of capillaries</td>
<td style='padding:8px;border:1px solid #ddd;'>Filtration</td>
</tr>
</tbody></table></div>
<b>High-Yield Recap:</b><br>
- Osmotic = solute pull (general concept).<br>
- Oncotic = protein pull (specific to plasma proteins).<br>
- Hydrostatic = pressure push.<br><br>
🔹 ↑ Oncotic → water moves in (reabsorption)<br>
🔹 ↑ Hydrostatic → water moves out (filtration)
",6,,
Where are sperm cells produced and where are they stored before ejaculation?,Produced in epididymis; stored in seminal vesicles,Produced in seminiferous tubules; stored in epididymis,Produced in vas deferens; stored in prostate gland,Produced in rete testis; stored in urethra,2,"Spermatogenesis occurs in the seminiferous tubules beginning at puberty. Germ cells progress from spermatogonia → spermatocytes → spermatids → spermatozoa, all supported by Sertoli cells and dependent on both FSH and testosterone.
        •        Maturation & storage: Completed spermatozoa are transported to the epididymis, where they mature, gain motility, and are stored until ejaculation.
        •        Transport during ejaculation: Pathway = epididymis → vas deferens → ejaculatory duct → urethra.
        •        Accessory glands:
        •        Seminal vesicles: Contribute majority of seminal volume (fructose, prostaglandins).
        •        Prostate: Adds citrate, PSA, and enzymes.
        •        Bulbourethral glands: Secrete lubricating mucus.

Clinical tie-in: Blockage or absence of vas deferens (e.g., in cystic fibrosis) causes infertility despite normal spermatogenesis.

👉 High-yield review:
        •        Production = seminiferous tubules.
        •        Maturation/storage = epididymis.
        •        Vas deferens → transport.
        •        Accessory glands → fluid contributions.",6,,
Which of the following is secreted by chief cells of the stomach?,Intrinsic factor,Hydrochloric acid (HCl),Pepsinogen,Mucus,3,"The stomach mucosa has distinct secretory cells:
        •        Chief cells (fundus/body): Secrete pepsinogen, activated to pepsin in acidic pH. Function = protein digestion.
        •        Parietal cells (fundus/body): Secrete HCl (lowers gastric pH for enzyme activation, antimicrobial action) and intrinsic factor (required for vitamin B12 absorption in ileum). Stimulated by histamine (H2), acetylcholine (M3), and gastrin (CCK-B).
        •        Mucous cells: Secrete mucus + bicarbonate → protect epithelium.
        •        G cells (antrum): Secrete gastrin, stimulating parietal cells and gastric motility.

Clinical tie-in:
        •        Pernicious anemia: Autoimmune destruction of parietal cells → loss of intrinsic factor → B12 deficiency.
        •        Zollinger-Ellison syndrome: Gastrinoma → excess gastrin → ulcers.
        •        NSAID damage: Impairs mucosal protection → ulcers.

👉 High-yield review:
        •        Chief → pepsinogen.
        •        Parietal → HCl + IF.
        •        Mucous → mucus + HCO₃⁻.
        •        G cells → gastrin.
",6,,
All of the following amino acids are ketogenic EXCEPT:,Lysine,Leucine,Isoleucine,Glycine,4,"Amino acids are classified by their metabolic fates:
        •        Ketogenic only: Lysine & Leucine. → broken down into acetyl-CoA or acetoacetate for ketone body synthesis.
        •        Both ketogenic & glucogenic: Isoleucine, phenylalanine, tryptophan, tyrosine.
        •        Glucogenic only: Most others, including glycine (converted into pyruvate or TCA intermediates).

Exam trick: Glycine is not ketogenic — it is purely glucogenic, so it cannot generate ketone bodies.

👉 High-yield review:
        •        Ketogenic only = Lysine, Leucine.
        •        Both = “PITT” (Phenylalanine, Isoleucine, Tryptophan, Tyrosine).
        •        Glycine = glucogenic only.
",6,,
Which enzyme restores oxaloacetate in the tricarboxylic acid (TCA) cycle?,Succinate dehydrogenase,Fumarase,Malate dehydrogenase,Citrate synthase,3,"The TCA cycle regenerates oxaloacetate (OAA) at the final step, enabling continuation of the cycle.
        •        Malate dehydrogenase: Catalyzes malate → OAA, producing NADH. This step is energetically unfavorable but driven forward by rapid OAA consumption in citrate synthase reaction.
        •        Other enzymes in the cycle:
        •        Succinate dehydrogenase: Succinate → fumarate (FADH₂ produced).
        •        Fumarase: Fumarate → malate.
        •        Citrate synthase: OAA + acetyl-CoA → citrate (first step).

Clinical tie-in:
        •        TCA cycle defects are rare but secondary deficiencies (e.g., thiamine deficiency → α-ketoglutarate dehydrogenase dysfunction) can cause neurologic problems.
        •        Malate shuttle is also important for transferring NADH equivalents into mitochondria.

👉 High-yield review:
        •        Final enzyme = malate dehydrogenase.
        •        Reaction = malate → OAA + NADH.
        •        OAA is essential to accept acetyl-CoA and restart the cycle.",6,,
"In gluconeogenesis, biotin acts as a cofactor for which enzyme?",Pyruvate carboxylase,Pyruvate kinase,Phosphoenolpyruvate carboxykinase (PEPCK),Glucose-6-phosphatase,1,"Biotin (vitamin B7) is an essential coenzyme for carboxylation reactions, meaning it carries activated CO₂ to help form new carbon–carbon bonds. The classic high-yield fact: all carboxylases require biotin.

In gluconeogenesis, the key biotin-dependent enzyme is pyruvate carboxylase, located in the mitochondria. It catalyzes the conversion of pyruvate (3C) → oxaloacetate (OAA, 4C), using CO₂, ATP, and biotin as cofactors. This is the first bypass step of gluconeogenesis, allowing the body to generate glucose from non-carbohydrate sources during fasting.
        •        PEPCK (phosphoenolpyruvate carboxykinase): Converts OAA → PEP, but requires GTP, not biotin.
        •        Pyruvate kinase: Functions in glycolysis (PEP → pyruvate), not gluconeogenesis.
        •        Glucose-6-phosphatase: Final gluconeogenic enzyme, releasing free glucose into the blood.

Clinical tie-in: Biotin deficiency (rare, can occur with excessive raw egg white ingestion due to avidin) can impair gluconeogenesis, leading to hypoglycemia, lactic acidosis, dermatitis, and alopecia.

👉 High-yield summary:
        •        Biotin = all carboxylases.
        •        Pyruvate carboxylase: Pyruvate → OAA (gluconeogenesis bypass).
        •        PEPCK: OAA → PEP (uses GTP, not biotin).
        •        Other enzymes listed are not biotin dependent.",6,,
Which of the following best describes a peptide bond?,Ionic bond,Hydrogen bond,Covalent bond,Van der Waals interaction,3,"<b>Peptide bond</b> is a <b>covalent bond</b> formed between the carboxyl group of one amino acid and the amino group of another, releasing a molecule of water via a <b>dehydration (condensation) reaction</b>.<br><br>This bond links amino acids into polypeptides, showing <b>partial double-bond character</b> due to resonance between the carbonyl oxygen and amide nitrogen, restricting rotation and maintaining a planar structure.<br><br><b>High-Yield Review:</b><br>• Peptide bond = covalent amide linkage<br>• Formed via dehydration, broken by hydrolysis<br>• Partial double-bond character → rigid & planar<br>• Stabilized by hydrogen bonds in α-helices & β-sheets",6,,
Which metabolic pathway is the major source of NADPH in cells?,TCA cycle,Pentose phosphate pathway,Glycolysis,Beta-oxidation of fatty acids,2,"The Pentose Phosphate Pathway (PPP), also called the hexose monophosphate shunt, is an alternative glucose metabolism pathway that branches from glycolysis at glucose-6-phosphate. It operates in the cytosol and has two major products:
        •        NADPH, a crucial reducing agent used in:
• Reductive biosynthesis (fatty acid, cholesterol, steroid synthesis).
• Maintaining reduced glutathione in red blood cells, which protects against oxidative damage from reactive oxygen species. This is why G6PD deficiency leads to hemolysis.
• Cytochrome P450 hydroxylation reactions, important for detoxification in the liver.
        •        Ribose-5-phosphate, essential for nucleotide and nucleic acid synthesis.

By contrast:
        •        Glycolysis and the TCA cycle produce NADH, which is used in oxidative phosphorylation to generate ATP.
        •        β-oxidation of fatty acids produces NADH and FADH2, feeding into the electron transport chain for energy, but not NADPH.

👉 High-yield summary: PPP is the only pathway that generates NADPH and ribose-5-phosphate; glycolysis/TCA/β-oxidation generate NADH/FADH2 for ATP, not NADPH.",6,,
Which structural feature distinguishes thymine from uracil?,A hydroxyl group at carbon 2,A methyl group at carbon 5,An amino group at carbon 4,A double bond at carbon 6,2,"Both <b>uracil</b> and <b>thymine</b> are <b>pyrimidine bases</b>.<br><br>
<b>Uracil</b> is found exclusively in <b>RNA</b>, whereas <b>thymine</b> is found only in <b>DNA</b>.<br><br>
Structurally, they are nearly identical except that <b>thymine</b> possesses a <b>methyl group at the 5′ carbon</b>, which <b>uracil lacks</b>.<br><br>
This <b>methylation</b> contributes to the <b>stability of DNA</b> and enables <b>DNA repair enzymes</b> to distinguish <b>thymine</b> from <b>uracil</b> that may result from <b>cytosine deamination</b>.<br><br>
<b>Incorrect options explained:</b><br>
<ul>
<li><b>Hydroxyl at carbon 2 →</b> feature of <b>ribose</b> in RNA, not of the pyrimidine base itself</li>
<li><b>Carbonyl at C4 →</b> present in both uracil and thymine</li>
<li><b>Double bond positions →</b> identical in both bases</li>
</ul>
<b>High-yield review:</b><br>
<ul>
<li><b>Uracil →</b> RNA only; unmethylated pyrimidine</li>
<li><b>Thymine →</b> DNA only; methylated at 5′ carbon</li>
<li><b>Key distinction →</b> 5-methyl group = thymine</li>
<li><b>Functional significance →</b> methylation stabilizes DNA and aids in repair discrimination</li>
</ul>",6,,
