text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
"Which of the following represents the primary stress-bearing areas for complete dentures in the maxilla and mandible, respectively?",Maxilla – rugae area; Mandible – alveolar ridge crest,Maxilla – hard palate and residual ridge; Mandible – buccal shelf and retromolar pad,Maxilla – posterior palatal seal; Mandible – sublingual fold area,Maxilla – alveolar ridge; Mandible – labial vestibule,2,"<b>Stress-Bearing Areas in Complete Dentures</b><br><br>
<b>Maxilla:</b><br>
<ul>
<li><b>Primary:</b> Hard palate and posterior alveolar ridge.</li>
<li><b>Secondary:</b> Rugae and tuberosities.</li>
<li><b>Relief:</b> Incisive papilla, median raphe.</li>
</ul>
<b>Mandible:</b><br>
<ul>
<li><b>Primary:</b> Buccal shelf and retromolar pad.</li>
<li><b>Secondary:</b> Ridge slopes, lingual flange.</li>
<li><b>Relief:</b> Mental foramen, genial tubercles.</li>
</ul>
<b>Summary:</b><br>
<ul>
<li>Maxilla – palate spreads stress over wide area.</li>
<li>Mandible – buccal shelf resists load; ridge crest fragile.</li>
<li>Proper adaptation prevents soreness and bone loss.</li>
</ul>",10,,
Which of the following best describes the property of thixotropy in dental materials?,The ability of a material to resist flow under constant load,The ability of a material to become less viscous when agitated and regain viscosity at rest,The tendency of a material to expand when heated,The change in setting time due to increased ambient temperature,2,"<b>Thixotropy</b> refers to a <b>time-dependent shear-thinning property</b> seen in certain dental materials — meaning they become <b>less viscous under agitation</b> and <b>return to a more viscous state</b> when left at rest.<br><br>This behavior allows easier manipulation during placement and stability afterward.<br><br><b>Examples:</b><br>- Impression materials (e.g., alginate, elastomers).<br>- Resin-modified glass ionomers.<br>- Restorative cements.<br><br><b>High-yield recap:</b><br>- Decreased viscosity under shear stress.<br>- Reversible with time.<br>- Improves handling and flow.",10,,
A 42-year-old patient with severe bruxism and non-compliance with a nightguard requires a full-coverage crown on a mandibular first molar. Which material would be most biomechanically compatible with natural tooth structure?,All-ceramic (lithium disilicate) crown,Porcelain-fused-to-metal (PFM) crown,Monolithic zirconia crown,Cast gold alloy crown,4,"<b>Gold alloy crowns</b> are the most biomechanically compatible option for patients with <b>bruxism</b> and poor compliance with occlusal guards. Gold exhibits a <b>hardness lower than enamel</b> but mechanical strength comparable to dentin, allowing it to <b>absorb occlusal forces</b> and prevent enamel wear.<br><br><div style='border:1px solid #ddd;border-radius:10px;overflow:hidden;margin:8px 0;'><div style='background:#0f172a;color:#fff;padding:10px 12px;font-weight:600;'>Material Comparison</div><table role='grid' style='width:100%;border-collapse:collapse;font-size:14px;color:#000;'><thead><tr style='background:#111827;color:#fff;'><th style='padding:8px;border:1px solid #ddd;text-align:left;'>Material</th><th style='padding:8px;border:1px solid #ddd;'>Approx. Knoop Hardness (KHN)</th><th style='padding:8px;border:1px solid #ddd;'>Key Behavior in Bruxism</th></tr></thead><tbody><tr style='background:#ffffff;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Enamel</td><td style='padding:8px;border:1px solid #ddd;'>~270</td><td style='padding:8px;border:1px solid #ddd;'>Hard, brittle, wear-resistant</td></tr><tr style='background:#f9fafb;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Dentin</td><td style='padding:8px;border:1px solid #ddd;'>~60</td><td style='padding:8px;border:1px solid #ddd;'>Softer, energy-absorbing</td></tr><tr style='background:#ffffff;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Gold Alloy</td><td style='padding:8px;border:1px solid #ddd;'>~90–200</td><td style='padding:8px;border:1px solid #ddd;'>Ductile, shock-absorbing, enamel-friendly</td></tr><tr style='background:#f9fafb;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>PFM</td><td style='padding:8px;border:1px solid #ddd;'>~460</td><td style='padding:8px;border:1px solid #ddd;'>Porcelain prone to chipping</td></tr><tr style='background:#ffffff;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Lithium Disilicate</td><td style='padding:8px;border:1px solid #ddd;'>~500–600</td><td style='padding:8px;border:1px solid #ddd;'>Strong, brittle, esthetic</td></tr><tr style='background:#f9fafb;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Zirconia</td><td style='padding:8px;border:1px solid #ddd;'>~1200</td><td style='padding:8px;border:1px solid #ddd;'>Extremely hard, abrasive to enamel</td></tr></tbody></table></div><br><b>High-yield recap:</b><br>- Gold = enamel-compatible hardness, high toughness.<br>- PFM = chipping risk.<br>- Zirconia = strongest, most abrasive.<br>- e.max = esthetic but brittle.",10,,
A 28-year-old patient requires a maxillary central incisor pontic in a highly esthetic zone with an ideally contoured ridge. Which pontic design provides the most natural emergence profile and esthetics?,Ridge-lap pontic,Modified ridge-lap pontic,Ovate pontic,Hygienic pontic,3,"The <b>ovate pontic</b> provides the most natural and esthetic result for anterior fixed partial dentures when the ridge contour is ideal. Its <b>convex base</b> fits into a <b>shallow tissue depression</b>, creating the illusion of a tooth emerging from the gingiva.<br><br><div style='border:1px solid #ddd;border-radius:10px;overflow:hidden;margin:8px 0;'><div style='background:#0f172a;color:#fff;padding:10px 12px;font-weight:600;'>Pontic Design Comparison</div><table role='grid' style='width:100%;border-collapse:collapse;font-size:14px;color:#000;'><thead><tr style='background:#111827;color:#fff;'><th style='padding:8px;border:1px solid #ddd;text-align:left;'>Pontic Type</th><th style='padding:8px;border:1px solid #ddd;'>Tissue Contact</th><th style='padding:8px;border:1px solid #ddd;'>Esthetics</th><th style='padding:8px;border:1px solid #ddd;'>Hygiene</th><th style='padding:8px;border:1px solid #ddd;'>Common Use</th></tr></thead><tbody><tr style='background:#ffffff;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Ridge-lap</td><td style='padding:8px;border:1px solid #ddd;'>Full ridge contact</td><td style='padding:8px;border:1px solid #ddd;'>Good</td><td style='padding:8px;border:1px solid #ddd;'>Poor</td><td style='padding:8px;border:1px solid #ddd;'>Obsolete</td></tr><tr style='background:#f9fafb;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Modified ridge-lap</td><td style='padding:8px;border:1px solid #ddd;'>Facial contact only</td><td style='padding:8px;border:1px solid #ddd;'>Very good</td><td style='padding:8px;border:1px solid #ddd;'>Good</td><td style='padding:8px;border:1px solid #ddd;'>General anterior use</td></tr><tr style='background:#ffffff;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Ovate</td><td style='padding:8px;border:1px solid #ddd;'>Convex, socket fit</td><td style='padding:8px;border:1px solid #ddd;'>Excellent</td><td style='padding:8px;border:1px solid #ddd;'>Fair</td><td style='padding:8px;border:1px solid #ddd;'>Anterior esthetic zone</td></tr><tr style='background:#f9fafb;color:#000;'><td style='padding:8px;border:1px solid #ddd;'>Hygienic</td><td style='padding:8px;border:1px solid #ddd;'>No ridge contact</td><td style='padding:8px;border:1px solid #ddd;'>Poor</td><td style='padding:8px;border:1px solid #ddd;'>Excellent</td><td style='padding:8px;border:1px solid #ddd;'>Posterior regions</td></tr></tbody></table></div><br><b>High-yield recap:</b><br>- Ovate = most esthetic; ideal ridge required.<br>- Modified ridge-lap = best balance.<br>- Hygienic = posterior only.",10,,
Which of the following best describes centric relation?,"The maximum intercuspation of the teeth, independent of condylar position",The position of the mandible when the condyles are in the most anterior-superior position in the glenoid fossa,The habitual position achieved during swallowing,The position of the mandible guided by tooth contact,2,"Centric relation (CR) is a <b>bone-to-bone relationship</b>—it is the position of the mandible when the <b>condyles are in the most anterior-superior position against the posterior slopes of the articular eminences</b>, with the articular discs properly interposed. It is <b>independent of tooth contact</b> and determined by the anatomy of the joint.<br><br><b>Key features:</b><ul><li>Repeatable and reproducible—used as a reference position.</li><li>Physiologic and stable—unchanged by tooth wear or missing teeth.</li><li>Used for complete denture fabrication, mounting casts, and full-mouth rehabilitations.</li></ul><b>High-Yield Recap:</b> Centric relation = joint position, independent of teeth, reproducible and stable.",10,,
Which of the following statements best describes the relationship between centric occlusion and centric relation?,They always coincide in all individuals,"Centric occlusion refers to habitual bite, while centric relation is a joint-determined position",Centric relation always occurs with maximum intercuspation,"Centric occlusion is used for denture fabrication, not centric relation",2,"Centric occlusion (CO), also known as <b>maximum intercuspation (MI)</b>, is the position of the mandible when the maxillary and mandibular teeth are in <b>maximum contact</b>. It is <b>tooth-guided</b> and may or may not coincide with centric relation.<br><br>In most individuals, CO is <b>1–2 mm anterior</b> to CR. When CR = CO, occlusion is harmonious.<br><br><b>Clinical relevance:</b><ul><li>CR is used in edentulous cases or full-mouth rehab.</li><li>CO/MI is used for single crowns or small restorations.</li></ul><b>Other Terms:</b><ul><li>Centric occlusion = Maximum Intercuspation (MI)</li><li>Centric relation = Retruded Contact Position (RCP)</li></ul><b>High-Yield Recap:</b> CR = condylar position; CO = habitual tooth contact; CR is typically posterior to CO by 1–2 mm.",10,,
In which of the following scenarios is centric relation used as the reference position rather than centric occlusion?,Placement of a single crown on a molar,Full-mouth rehabilitation,Restoring a fractured incisor,Small inlay restoration,2,"Centric relation (CR) is used as a reference position when <b>tooth guidance is unreliable or absent</b>, such as in:<ul><li>Complete dentures</li><li>Full-mouth reconstruction</li><li>Severe occlusal wear</li><li>Multiple missing teeth</li></ul>In contrast, centric occlusion (CO) or maximum intercuspation is used when sufficient tooth structure remains to establish a stable bite.<br><br><b>Comparison Table:</b><br><table border='1' cellpadding='4' cellspacing='0'><tr><th>Used When</th><th>Reference Position</th><th>Reason</th></tr><tr><td>Full dentures / full-mouth rehab</td><td><b>Centric Relation (CR)</b></td><td>Stable, reproducible joint position</td></tr><tr><td>Single restorations / small bridges</td><td><b>Centric Occlusion (CO)</b></td><td>Preserves patient’s habitual bite</td></tr></table><br><b>High-Yield Recap:</b> CR = reference for full-arch rehab; CO = reference for limited restorations.",10,,
Which clinical combination MOST strongly suggests a poor prognosis for a fixed partial denture (FPD) abutment pair?,"Multirooted, divergent abutments with long clinical crowns and favorable crown–root ratios","Single‑rooted, conical abutments with short clinical crowns and unfavorable crown–root ratios",Abutments with a common path of insertion and robust periodontal support,"Abutments with wide roots, prominent proximal grooves, and adequate bone support",2,"<b>FPD prognosis is abutment‑driven.</b> Key determinants: <b>periodontal support</b>, <b>root morphology</b>, <b>crown–root ratio</b>, and a <b>common path of insertion</b>.<br><br><b>Poor‑prognosis features</b>: short clinical crowns with <b>unfavorable crown–root ratios</b> (≈ worse than 1:1), <b>conical/tapered roots</b> (small surface area), <b>periodontal compromise</b>, and structurally weakened <b>endo‑treated</b> abutments. These reduce PDL surface area and increase leverage, risking <b>retainer debonding</b> and <b>root fracture</b>.<br><br><b>Favorable features</b>: multirooted, <b>divergent</b>/curved roots with grooves (↑ surface area), long crowns with <b>ferrule</b>, robust bone, and a <b>common draw</b> for proper seating.<br><br><b>High‑yield recap:</b> Best = divergent multiroots + good bone + common draw; Worst = conical single roots + short crowns + poor ratio + perio loss.",10,,
A clinician needs to pour a final working cast for a crown and bridge case requiring high strength and accuracy. Which form of calcium sulfate hemihydrate should be used?,"β-hemihydrate (plaster of Paris) – irregular, porous particles requiring more water","α-hemihydrate (dental stone) – dense, prismatic crystals requiring less water",Either form – both provide equal surface hardness,β-hemihydrate mixed with less water to increase strength,2,"<b>Clinical Application of α- and β-Calcium Sulfate Hemihydrate</b><br><br>
<ul>
<li><b>β-Hemihydrate (Plaster):</b> Porous, weak; used for study models.</li>
<li><b>α-Hemihydrate (Stone):</b> Dense, strong; used for working casts and dies.</li>
</ul>
Both forms have the same chemistry but differ in <b>crystal structure and water requirement</b>.<br><br>
<b>High-Yield Summary:</b><br>
<ul>
<li>α-hemihydrate = strong, accurate → crown/bridge.</li>
<li>β-hemihydrate = weak, porous → study models.</li>
</ul>",10,,
Which finding best indicates sufficient primary stability to consider immediate loading of a dental implant (when other clinical factors are favorable)?,Insertion torque of 15–20 N·cm and ISQ < 50,Insertion torque of 35–50 N·cm and ISQ > 50,No torque threshold if the osteotomy is undersized,ISQ 35–45 with mobility grade I,2,"<b>Primary stability</b> is the initial <b>mechanical</b> stability from thread engagement. It guides whether <b>immediate loading</b> is safe.<br><br><b>Clinical thresholds</b>: <b>35–50 N·cm</b> insertion torque and <b>ISQ &gt; 50</b> are commonly targeted when other factors (occlusion, parafunction control) are favorable.<br><b>Secondary stability</b> is biological (bone formation) and develops over weeks.<br><br><b>Takeaway</b>: Low torque/ISQ → <b>delay loading</b>; adequate torque/ISQ → consider <b>immediate/early loading</b> with protective occlusion.",10,,
