text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
Which cells are primarily responsible for bone and root resorption seen during orthodontic movement or periapical inflammation?,Odontoblasts,Osteoclasts,Cementoblasts,Ameloblasts,2,"<b>Osteoclasts and Root Resorption</b><br><br>
<b>Overview:</b><br>
<b>Osteoclasts</b> are large, multinucleated cells responsible for resorption of mineralized tissues including <b>bone, cementum, and dentin</b>. They originate from monocyte/macrophage precursors and are activated by <b>RANKL–RANK signaling</b> in response to inflammation or mechanical stress.<br><br>
<b>Clinical Contexts:</b><br>
<ul>
<li><b>Physiologic:</b> Normal bone remodeling and eruption of permanent teeth.</li>
<li><b>Pathologic:</b> Root resorption following trauma, periapical lesions, or orthodontic forces.</li>
<li><b>Microscopy:</b> Presence of <b>Howship’s lacunae</b> on resorbed surfaces.</li>
</ul><br>
<b>Distinction:</b><br>
<ul>
<li><b>Osteoclasts</b> act on bone and sometimes dentin.</li>
<li><b>Odontoclasts</b> are a specialized form that primarily resorb dental tissues (more specific term, often used in ADAT).</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Main resorptive cells:</b> Osteoclasts (general term).</li>
<li><b>Dental-specific variant:</b> Odontoclasts (ADAT terminology).</li>
<li><b>Seen in:</b> Orthodontic movement, trauma, inflammation, or exfoliation.</li>
</ul>",19,,
Which radiographic feature best distinguishes internal root resorption from external root resorption?,"Internal resorption presents as a well-defined, symmetrical radiolucency continuous with the pulp space",External resorption presents as an irregular radiolucency within the pulp chamber,Internal resorption appears irregular and non-uniform along the root surface,Both show identical radiographic patterns and cannot be distinguished,1,"<b>Internal vs External Root Resorption – Radiographic Features</b><br><br>
<b>Internal Resorption:</b><br>
<ul>
<li>Originates within the <b>pulp chamber or canal</b> due to chronic pulpal inflammation and activation of odontoclasts inside the dentin.</li>
<li>Appears as a <b>well-defined, round or ovoid radiolucency</b> that is <b>continuous with the pulp space</b>.</li>
<li>Margins are smooth and symmetrical.</li>
<li>Lesion does <b>not shift</b> when radiograph angulation changes (because it’s inside the canal).</li>
</ul><br>
<b>External Resorption:</b><br>
<ul>
<li>Originates on the <b>external root surface</b>, often due to trauma, periapical inflammation, pressure from orthodontics, cysts, or adjacent teeth.</li>
<li>Appears as an <b>irregular or moth-eaten radiolucency</b> that may shift in relation to the canal when x-ray angle changes (the <b>SLOB rule</b> helps confirm).</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Internal resorption:</b> Symmetrical, round, continuous with pulp canal.</li>
<li><b>External resorption:</b> Irregular, asymmetrical, root outline altered.</li>
<li>Use <b>SLOB rule (Same Lingual, Opposite Buccal)</b> to determine if lesion moves → external.</li>
</ul>",19,,
A 25-year-old patient presents with a pinkish discoloration of a maxillary central incisor. Radiograph reveals a well-circumscribed radiolucent area within the pulp chamber. What is the most likely diagnosis and management?,External root resorption; extract the tooth,Internal resorption; perform root canal therapy immediately,External resorption; monitor for 6 months,Internal resorption; place calcium hydroxide and observe,2,"<b>Internal Resorption – Etiology and Treatment</b><br><br>
<b>Pathophysiology:</b><br>
<ul>
<li>Caused by chronic pulpal inflammation that activates <b>odontoclasts within the pulp</b>.</li>
<li>Commonly occurs following trauma, caries, or pulp capping procedures.</li>
<li>Resorption progresses outward through the dentin toward the root surface.</li>
</ul><br>
<b>Clinical Signs:</b><br>
<ul>
<li>“<b>Pink tooth of Mummery</b>” – pink hue in crown due to vascular granulation tissue within the pulp chamber.</li>
<li>Often asymptomatic until perforation occurs.</li>
</ul><br>
<b>Radiographic Findings:</b><br>
<ul>
<li>Well-circumscribed, round radiolucency continuous with the pulp space.</li>
<li>Lesion remains centered in the canal regardless of x-ray angulation.</li>
</ul><br>
<b>Treatment:</b><br>
<ul>
<li><b>Immediate root canal therapy</b> to remove vital pulp tissue and stop resorptive process.</li>
<li>If perforation is present → use <b>MTA (mineral trioxide aggregate)</b> or <b>bioceramic repair materials</b> to seal the defect.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Etiology:</b> Chronic pulpal inflammation (trauma, caries, pulp exposure).</li>
<li><b>Clinical sign:</b> Pink tooth discoloration.</li>
<li><b>Treatment:</b> Root canal therapy; repair perforation with MTA if needed.</li>
<li><b>Radiographic feature:</b> Smooth, symmetrical radiolucency continuous with pulp canal.</li>
</ul>",19,,
A patient presents after minor dental trauma. The maxillary central incisor shows tenderness to percussion but no mobility or displacement. The tooth is vital and not displaced. What is the most likely diagnosis?,Concussion,Subluxation,Extrusive luxation,Intrusive luxation,1,"<b>Concussion vs. Subluxation – Dental Trauma Classification</b><br><br>
<b>Concussion:</b><br>
<ul>
<li><b>Injury to the periodontal ligament (PDL)</b> without mobility or displacement.</li>
<li>Tooth is <b>tender to percussion</b> but otherwise normal clinically and radiographically.</li>
<li><b>Pulp test:</b> Vital or may show transient negative response due to pulpal inflammation.</li>
<li><b>Treatment:</b> No splinting required; soft diet, follow-up at 4 weeks and 6–8 weeks with vitality testing.</li>
</ul><br>
<b>Subluxation:</b><br>
<ul>
<li><b>PDL injury with increased mobility</b> but no displacement.</li>
<li>Bleeding from the gingival sulcus is common.</li>
<li><b>Pulp test:</b> May show transient or delayed loss of vitality (up to 20% later necrose).</li>
<li><b>Treatment:</b> Flexible splint for 1–2 weeks, clinical and radiographic monitoring.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Concussion:</b> Tenderness only, no mobility, no displacement.</li>
<li><b>Subluxation:</b> Mobility ↑, sulcular bleeding, still no displacement.</li>
<li><b>Vitality loss risk:</b> Higher in subluxation (especially in immature teeth).</li>
<li><b>Both:</b> Require follow-up with vitality and radiographs at 4–8 weeks.</li>
</ul>",19,,
"A 9-year-old patient falls and fractures the crown of a maxillary central incisor. The pulp is exposed, and the tooth is immature with an open apex. What is the most appropriate initial treatment?",Complete pulpectomy and root canal filling,Extraction of the tooth,Pulp capping or partial pulpotomy to preserve vitality,Reimplantation after extraoral storage in milk,3,"<b>Management of Dental Trauma with Pulp Exposure</b><br><br>
<b>Clinical Scenario:</b><br>
In immature teeth with open apices, preserving pulp vitality is critical for continued <b>root development and apexogenesis</b>.<br><br>
<b>Treatment Options:</b><br>
<ul>
<li><b>Small pulp exposure (&lt;24 hours):</b> Perform <b>direct pulp cap</b> using calcium hydroxide or MTA.</li>
<li><b>Larger or contaminated exposure:</b> Perform <b>partial pulpotomy (Cvek pulpotomy)</b> to remove inflamed coronal pulp while preserving healthy radicular pulp.</li>
<li>Cover with <b>MTA or calcium hydroxide</b> and a well-sealed restoration.</li>
</ul><br>
<b>Contraindicated:</b><br>
<ul>
<li><b>Root canal therapy</b> – not indicated until apex closure (would prevent root maturation).</li>
<li><b>Extraction</b> – unnecessary if root is restorable.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Immature teeth:</b> Maintain vitality → apexogenesis.</li>
<li><b>Mature teeth:</b> RCT if pulp exposure & symptomatic.</li>
<li><b>Materials:</b> MTA or Ca(OH)₂ for pulp capping/pulpotomy.</li>
<li><b>Goal:</b> Preserve vitality, allow continued root development.</li>
</ul>",19,,
"During root canal irrigation, which tooth has the highest risk of sodium hypochlorite (NaOCl) extrusion into periapical tissues?",Maxillary central incisor,Mandibular canine,Maxillary lateral incisor,Mandibular first molar,3,"<b>Sodium Hypochlorite Accident – High-Risk Tooth Anatomy</b><br><br>
<b>Overview:</b><br>
Sodium hypochlorite (NaOCl) is a potent irrigant used for <b>dissolving organic tissue</b> and <b>disinfecting the canal system</b>. Extravasion into periapical tissues causes severe pain, swelling, and ecchymosis due to its cytotoxicity.<br><br>
<b>Tooth at Highest Risk:</b><br>
<ul>
<li><b>Maxillary lateral incisor</b> – has a <b>curved or dilacerated apex</b> and often a <b>large or open apical foramen</b>.</li>
<li>The thin labial cortical plate offers little resistance, increasing risk of irrigant extrusion.</li>
<li>Accessory canals and proximity to the nasolabial fold further predispose to tissue spread.</li>
</ul><br>
<b>Clinical Features of NaOCl Accident:</b><br>
<ul>
<li>Immediate sharp pain and burning sensation.</li>
<li>Rapid swelling, bruising, and possible ecchymosis of the lip or infraorbital region.</li>
<li>Bleeding through the canal may occur.</li>
</ul><br>
<b>Management:</b><br>
<ul>
<li>Stop irrigation immediately and reassure patient.</li>
<li>Rinse canal with saline, apply <b>cold compress</b> for first 6 hours, then <b>warm compresses</b>.</li>
<li>Prescribe <b>analgesics, antibiotics, and corticosteroids</b> if swelling is severe.</li>
<li>Monitor healing and complete RCT after inflammation resolves.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Most at risk:</b> Maxillary lateral incisor (thin bone + open apex).</li>
<li><b>Complication:</b> NaOCl extrusion → chemical burn + tissue necrosis.</li>
<li><b>Immediate management:</b> Stop irrigation, saline flush, cold compress, analgesics.</li>
</ul>",19,,
What type of cell is most characteristic of an acute periapical abscess?,Lymphocytes,Plasma cells,Neutrophils,Macrophages,3,"<b>Acute Periapical Abscess – Cellular Composition</b><br><br>
<b>Overview:</b><br>
An acute periapical abscess is a <b>rapid, suppurative infection</b> at the apex of a non-vital tooth caused by bacterial invasion of periradicular tissues through an infected root canal.<br><br>
<b>Histopathology:</b><br>
<ul>
<li>Dominated by <b>neutrophils (polymorphonuclear leukocytes)</b>—the hallmark of acute inflammation.</li>
<li>Accumulation of neutrophils forms <b>pus (purulent exudate)</b>.</li>
<li>Liquefaction necrosis occurs centrally, surrounded by hyperemic connective tissue.</li>
</ul><br>
<b>Clinical Features:</b><br>
<ul>
<li>Severe throbbing pain and tenderness to percussion.</li>
<li>Tooth is <b>non-vital</b> and feels extruded from the socket.</li>
<li>Possible swelling or systemic signs (fever, malaise).</li>
</ul><br>
<b>Comparison:</b><br>
<ul>
<li><b>Acute abscess:</b> Neutrophils → pus formation.</li>
<li><b>Chronic abscess:</b> Lymphocytes, plasma cells, and macrophages → granulation tissue.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Main cell type:</b> Neutrophils (PMNs).</li>
<li><b>Product:</b> Pus composed of dead neutrophils and necrotic debris.</li>
<li><b>Key distinction:</b> Acute → PMNs; Chronic → lymphocytes & plasma cells.</li>
</ul>",19,,
The access cavity outline of which tooth is typically triangular in shape?,Maxillary central incisor,Maxillary first molar,Mandibular molar,Mandibular premolar,2,"<b>Access Cavity Shape – Maxillary First Molar</b><br><br>
<b>Overview:</b><br>
Access cavity shapes are determined by <b>pulp chamber anatomy</b> and <b>canal configuration</b>.<br><br>
<b>Maxillary First Molar:</b><br>
<ul>
<li>Typically has <b>three roots</b> (MB, DB, and palatal).</li>
<li><b>Triangular access</b> with base toward the buccal and apex toward the palatal canal.</li>
<li>Triangle may be slightly <b>rhomboid</b> if a second MB canal (MB2) is present.</li>
</ul><br>
<b>Other Tooth Shapes:</b><br>
<ul>
<li><b>Maxillary central incisor:</b> Triangular or ovoid (single canal).</li>
<li><b>Mandibular molars:</b> Trapezoidal or rectangular (mesial and distal roots).</li>
<li><b>Premolars:</b> Ovoid or round depending on number of canals.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Maxillary first molar:</b> Triangular/rhomboid.</li>
<li><b>Mandibular molar:</b> Trapezoidal.</li>
<li><b>Premolars:</b> Ovoid.</li>
<li><b>Incisors/canines:</b> Ovoid (single canal).</li>
</ul>",19,,
Which of the following teeth does not share a similar triangular access cavity shape as the others?,Maxillary first molar,Maxillary second molar,Maxillary first premolar,Maxillary central incisor,3,"<b>Access Cavity Shape – Triangular vs Ovoid</b><br><br>
<b>Triangular Access:</b><br>
<ul>
<li>Seen in <b>maxillary molars</b> and <b>maxillary central incisors</b>.</li>
<li>Reflects the triangular pulp chamber formed by canal orifices (e.g., MB, DB, P).</li>
<li>Triangle base faces buccal, apex toward palatal.</li>
</ul><br>
<b>Ovoid Access:</b><br>
<ul>
<li><b>Maxillary first premolar</b> has an <b>ovoid access</b> due to its two canal orifices aligned <b>buccolingually</b>.</li>
<li>Shape is elongated rather than triangular.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Molars & central incisor:</b> Triangular access.</li>
<li><b>Premolars:</b> Ovoid access (exception).</li>
<li><b>Access shape = internal pulp anatomy orientation.</b></li>
</ul>",19,,
Which of the following is the primary cause of tooth discoloration following pulpal necrosis?,Demineralization of enamel,Penetration of metallic ions from restorations,Degradation of hemoglobin products within dentinal tubules,Microleakage through defective restorations,3,"<b>Discoloration of a Nonvital Tooth – Mechanism</b><br><br>
<b>Overview:</b><br>
After pulpal necrosis, breakdown of <b>red blood cells</b> and <b>hemoglobin derivatives</b> leads to discoloration of the dentin through penetration into <b>dentinal tubules</b>.<br><br>
<b>Pathophysiology:</b><br>
<ul>
<li>Pulpal necrosis → breakdown of <b>hemoglobin</b> into <b>iron sulfide and porphyrin pigments</b>.</li>
<li>These pigments diffuse through the dentinal tubules and bind to dentin proteins.</li>
<li>Tooth develops a <b>dark gray, brown, or black hue</b> that does not respond to normal polishing.</li>
</ul><br>
<b>Other Causes of Discoloration:</b><br>
<ul>
<li><b>Intrinsic:</b> Blood pigments (necrosis), pulp remnants, medicaments, tetracycline.</li>
<li><b>Extrinsic:</b> Stains from food, tobacco, chlorhexidine, or poor hygiene.</li>
</ul><br>
<b>Treatment:</b><br>
<ul>
<li><b>Nonvital (internal) bleaching</b> using sodium perborate and hydrogen peroxide (“walking bleach” technique).</li>
<li>Restore access cavity with a well-sealed composite to prevent recontamination.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Cause:</b> Hemoglobin breakdown → iron sulfide pigment.</li>
<li><b>Location:</b> Dentinal tubules.</li>
<li><b>Color:</b> Gray to black internal discoloration.</li>
<li><b>Tx:</b> Internal (nonvital) bleaching or crown restoration.</li>
</ul>",19,,
