text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
"A 6‑year‑old patient presents for a recall exam. You note several white spot lesions on the maxillary primary incisors and a new restoration placed 8 months ago due to a cavitated lesion. The child brushes once daily with fluoridated toothpaste, and clinical examination shows visible plaque along the gingival margins. According to the CAMBRA protocol, how should this patient’s caries risk level be classified?",Low risk,Moderate risk,High risk,Extreme risk,3,"In CAMBRA, you look for disease indicators first. White spot lesions mean enamel has already started to demineralize, and a restoration placed in the last three years means there was a cavity recently. Both are strong signs that caries is active or has been active. Even though the child uses fluoridated toothpaste (a protective factor), disease indicators override protective factors. 
CAMBRA Risk Levels: 
<b>Low Risk</b> – No lesions, protective factors outweigh risk factors.  
<b>Moderate Risk</b> – No lesions but multiple risk factors with limited protective factors.  
<b>High Risk</b> – Presence of any disease indicators such as white spot lesions, cavitated lesions in the last 3 years, or recent restorations due to caries.  
<b>Extreme Risk</b> – High risk plus severe xerostomia or rampant caries despite adequate protection.  
In this case: White spot lesions + a restoration placed <3 years are strong disease indicators. Protective factors (fluoridated toothpaste) do not override disease indicators. No severe xerostomia → <b>High Risk.</b>",1,,
"A smooth surface on a primary molar shows an early change when dried with air, but when the surface is viewed while still wet, no change is seen. The enamel is intact and no dentin is visible. What ICDAS code best describes this lesion?",Code 0,Code 1,Code 3,Code 4,2,"ICDAS is based on what you see visually:

| Code | Description |

| 0 | Sound enamel, no change visible. |
| 1 | First visual change in enamel, seen only after air drying. |
| 2 | Distinct visual change in enamel visible even when wet. |
| 3 | Localized enamel breakdown without dentin visible. |
| 4 | Underlying dark shadow from dentin. |

In this case, the lesion is only seen after drying and not when wet. That matches ICDAS Code 1. Recognizing a Code 1 lesion is important because it is an early, non‑cavitated stage that can often be managed with fluoride and sealants rather than restorative treatment. ",1,,
A bitewing radiograph of a permanent molar shows a radiolucency that extends from the enamel surface into the inner half of enamel but does not reach the dentino‑enamel junction. How would this lesion be classified in the radiographic caries progression system?,E1,E2,D1,D3,2,"Radiographic caries progression is described by how far the lesion penetrates:

| Code | Depth | Meaning |

| E1 | Outer half of enamel | Very early enamel caries. |
| E2 | Inner half of enamel | Advanced enamel caries. |
| D1 | Outer third of dentin | Early dentinal involvement. |
| D2 | Middle third of dentin | Moderate dentinal caries. |
| D3 | Inner third of dentin | Deep dentinal caries approaching the pulp. |

In this scenario, the lesion is in the inner half of enamel but has not reached dentin, which is classified as E2.",1,,
"According to pediatric guidelines, at what age should a child first visit the dentist?",3-6 months,6-12 months,1-2 years,2-3 years,2,"According to the American Academy of Pediatric Dentistry (AAPD) and similar pediatric dental guidelines, a child should see a dentist by the time their <b>first tooth erupts</b> or <b>no later than their first birthday.</b> This usually occurs between <b>6 and 12 months</b> of age. The purpose of this early visit is to establish a dental home, evaluate oral development, and provide parents with guidance on feeding, fluoride use, and habits like thumb sucking. Early visits help identify risk factors and prevent early childhood caries.",1,,
"According to caries management guidelines, how often should a high‑caries‑risk child have a professional dental recall visit?",Every 6 months,Every 12 months,Every 3 months,Every 18 months,3,"Children classified as high caries risk should be seen more frequently to monitor lesions, apply fluoride treatments, and reinforce preventive strategies. Current guidelines recommend a recall interval of about every 3 months for high‑risk patients. Individuals with low caries risk are typically seen every 6 months.",1,,
Which of the following statements best reflects the relationship between the age a child is first affected by caries and their future caries risk?,The age of first caries has no effect on future caries risk.,"The younger a child is when affected by caries, the lower the risk of future caries.","The younger a child is when affected by caries, the higher the risk of progression and future caries in permanent teeth.",Caries risk is determined only by diet and not by age of first caries.,3,"Early childhood caries is not only a problem for the primary dentition but also a strong predictor for future caries. The younger a child is when caries first develops, the higher the risk of caries progression and the higher the likelihood that caries will also affect the permanent dentition. This is because early caries often reflects high-risk habits and a susceptible oral environment that, if unchanged, will continue to affect new teeth as they erupt. Identifying and addressing caries early is critical to breaking this cycle.",1,,
"A 2‑year‑old child lives in a community where the water fluoride level is 0.4 ppm. According to pediatric fluoride supplementation guidelines, how much systemic fluoride supplement should this child receive daily?",0 mg/day,0.25 mg/day,0.5 mg/day,1.0 mg/day,1,"<div style=""border:1px solid #ddd;border-radius:10px;overflow:hidden;margin:8px 0;"">
  <div style=""background:#0f172a;color:#fff;padding:10px 12px;font-weight:600;"">Fluoride Supplementation — ADA Guidelines</div>
  <table role=""grid"" style=""width:100%;border-collapse:collapse;font-size:14px;text-align:center;color:#000;"">
    <thead>
      <tr style=""background:#111827;color:#fff;"">
        <th style=""padding:8px;border:1px solid #ddd;"">Child’s Age</th>
        <th style=""padding:8px;border:1px solid #ddd;"">&lt; 0.3 ppm</th>
        <th style=""padding:8px;border:1px solid #ddd;"">0.3–0.6 ppm</th>
        <th style=""padding:8px;border:1px solid #ddd;"">&gt; 0.6 ppm</th>
      </tr>
    </thead>
    <tbody>
      <tr style=""background:#ffffff;color:#000;"">
        <td style=""padding:8px;border:1px solid #ddd;"">Birth – 6 months</td>
        <td style=""padding:8px;border:1px solid #ddd;"">None</td>
        <td style=""padding:8px;border:1px solid #ddd;"">None</td>
        <td style=""padding:8px;border:1px solid #ddd;"">None</td>
      </tr>
      <tr style=""background:#f9fafb;color:#000;"">
        <td style=""padding:8px;border:1px solid #ddd;"">6 months – 3 years</td>
        <td style=""padding:8px;border:1px solid #ddd;"">0.25 mg</td>
        <td style=""padding:8px;border:1px solid #ddd;"">None</td>
        <td style=""padding:8px;border:1px solid #ddd;"">None</td>
      </tr>
      <tr style=""background:#ffffff;color:#000;"">
        <td style=""padding:8px;border:1px solid #ddd;"">3 – 6 years</td>
        <td style=""padding:8px;border:1px solid #ddd;"">0.50 mg</td>
        <td style=""padding:8px;border:1px solid #ddd;"">0.25 mg</td>
        <td style=""padding:8px;border:1px solid #ddd;"">None</td>
      </tr>
      <tr style=""background:#f9fafb;color:#000;"">
        <td style=""padding:8px;border:1px solid #ddd;"">&gt; 6 years</td>
        <td style=""padding:8px;border:1px solid #ddd;"">1.00 mg</td>
        <td style=""padding:8px;border:1px solid #ddd;"">0.50 mg</td>
        <td style=""padding:8px;border:1px solid #ddd;"">None</td>
      </tr>
    </tbody>
  </table>
</div>",1,,
What is the recommended optimal concentration of fluoride in community drinking water to prevent caries while minimizing the risk of fluorosis?,0.3 ppm,0.5 ppm,0.7 ppm,1.0 ppm,3,The current recommendation for optimal water fluoridation is <b>0.7 parts per million (ppm)</b>. This level provides significant protection against caries while minimizing the risk of fluorosis in children.,1,,
A 4‑year‑old patient is quiet and reserved during a dental appointment. They accept treatment and follow instructions but do not actively engage with the dentist. What Frankl behavior rating would best describe this patient?,Frankl 1,Frankl 2,Frankl 3,Frankl 4,3,"The Frankl Scale rates a child’s behavior in the dental chair from 1 (strongly negative) to 4 (strongly positive). A patient who is reserved but accepts care and follows directions fits Frankl 3. <table border='1' cellpadding='4' cellspacing='0'><tr><th>Frankl Score</th><th>Description</th></tr><tr><td>1</td><td>Strongly negative: refuses treatment, cries, fearful.</td></tr><tr><td>2</td><td>Negative: reluctant, uncooperative but accepts care.</td></tr><tr><td>3</td><td>Positive: reserved but accepts care and follows directions.</td></tr><tr><td>4</td><td>Strongly positive: cooperative, shows enjoyment.</td></tr></table>",1,,
At what age do the maxillary primary canines typically erupt?,9–13 months,13–19 months,16–22 months,25–33 months,3,"<div style=""border:1px solid #ddd;border-radius:10px;overflow:hidden;margin:8px 0;"">
  <div style=""background:#0f172a;color:#fff;padding:10px 12px;font-weight:600;"">Primary Teeth — Eruption (months)</div>
  <table role=""grid"" style=""width:100%;border-collapse:collapse;font-size:14px;color:#000;"">
    <thead>
      <tr style=""background:#111827;color:#fff;"">
        <th style=""padding:8px;border:1px solid #ddd;text-align:left;"">Tooth</th>
        <th style=""padding:8px;border:1px solid #ddd;"">Maxillary</th>
        <th style=""padding:8px;border:1px solid #ddd;"">Mandibular</th>
      </tr>
    </thead>
    <tbody>
      <tr style=""background:#ffffff;color:#000;"">
        <td style=""padding:8px;border:1px solid #ddd;"">Central Incisor</td>
        <td style=""padding:8px;border:1px solid #ddd;"">8–12</td>
        <td style=""padding:8px;border:1px solid #ddd;"">6–10</td>
      </tr>
      <tr style=""background:#f9fafb;color:#000;"">
        <td style=""padding:8px;border:1px solid #ddd;"">Lateral Incisor</td>
        <td style=""padding:8px;border:1px solid #ddd;"">9–13</td>
        <td style=""padding:8px;border:1px solid #ddd;"">10–16</td>
      </tr>
      <tr style=""background:#ffffff;color:#000;"">
        <td style=""padding:8px;border:1px solid #ddd;"">Canine</td>
        <td style=""padding:8px;border:1px solid #ddd;"">16–22</td>
        <td style=""padding:8px;border:1px solid #ddd;"">17–23</td>
      </tr>
      <tr style=""background:#f9fafb;color:#000;"">
        <td style=""padding:8px;border:1px solid #ddd;"">First Molar</td>
        <td style=""padding:8px;border:1px solid #ddd;"">13–19</td>
        <td style=""padding:8px;border:1px solid #ddd;"">14–18</td>
      </tr>
      <tr style=""background:#ffffff;color:#000;"">
        <td style=""padding:8px;border:1px solid #ddd;"">Second Molar</td>
        <td style=""padding:8px;border:1px solid #ddd;"">25–33</td>
        <td style=""padding:8px;border:1px solid #ddd;"">23–31</td>
      </tr>
    </tbody>
  </table>
</div>",1,,
