text,option1,option2,option3,option4,correct_option,explanation,subject_id,question_image,explanation_image
What material is most commonly used for fabricating metal castings in removable partial dentures (RPDs)?,High noble gold alloy,Titanium alloy,Base metal alloy,Stainless steel,3,"<b>Removable Partial Denture (RPD) Casting Alloys</b><br><br>
<b>Overview:</b><br>
The metal framework of an RPD requires <b>strength, rigidity, and corrosion resistance</b> while remaining lightweight and economical.  
<b>Base metal alloys</b> meet these requirements and are the most commonly used for RPD frameworks.<br><br>
<b>Common Alloys:</b><br>
<ul>
<li><b>Cobalt–chromium (Co–Cr):</b> High strength, rigidity, low weight.</li>
<li><b>Nickel–chromium (Ni–Cr):</b> Similar but may cause allergic reactions.</li>
<li><b>Titanium:</b> Biocompatible, but difficult to cast.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Material of choice:</b> Base metal alloys (usually Co–Cr).</li>
<li><b>Advantages:</b> Strong, rigid, lightweight, corrosion-resistant, affordable.</li>
<li><b>Disadvantages:</b> Hard to polish, potential nickel allergy.</li>
</ul>",20,,
"In a Kennedy Class I removable partial denture, what is the main function of the rests placed on canines or premolars anterior to the edentulous areas?",To provide vertical support to the denture base,To act as indirect retainers that prevent lifting of the distal extension base,To locate the axis of rotation (fulcrum line),To provide direct retention against horizontal dislodgment,2,"<b>Indirect Retainers and the Fulcrum Line in Distal Extension RPDs</b><br><br>
<b>Overview:</b><br>
In distal extension RPDs (Kennedy Class I and II), the base tends to rotate around a <b>fulcrum line</b> through the posterior rests.  
<b>Indirect retainers</b>—usually anterior rests—resist this lifting movement.<br><br>
<b>Key Concepts:</b><br>
<ul>
<li><b>Fulcrum line:</b> Passes through terminal abutment rests.</li>
<li><b>Indirect retainers:</b> Placed anterior and perpendicular to that line (e.g., on canines or premolars).</li>
<li><b>Function:</b> Prevent lifting of the distal extension base (tissue-ward rotation).</li>
<li><b>All rests</b> provide vertical support; <b>indirect retainers</b> specifically prevent rotation.</li>
</ul>",20,,
Who developed the classification system for removable partial dentures based on the location of edentulous areas?,Applegate,Kennedy,Cummer,Kratochvil,2,"<b>Kennedy Classification of Removable Partial Dentures</b><br><br>
<b>Overview:</b><br>
The <b>Kennedy classification</b> (developed by Dr. Edward Kennedy) describes the <b>edentulous pattern</b> in an arch and guides RPD design.<br><br>
<b>The Four Main Classes:</b><br>
<ul>
<li><b>Class I:</b> Bilateral distal extension.</li>
<li><b>Class II:</b> Unilateral distal extension.</li>
<li><b>Class III:</b> Bounded edentulous space.</li>
<li><b>Class IV:</b> Single anterior edentulous area crossing the midline.</li>
</ul><br>
<b>Clinical Significance:</b><br>
<ul>
<li>Determines <b>support and rotation patterns</b>.</li>
<li>Guides placement of <b>major connectors, rests, and indirect retainers</b>.</li>
<li><b>Class I and II</b> require tissue support and indirect retention; <b>Class III</b> is tooth-supported.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Developer:</b> Dr. Edward Kennedy.</li>
<li><b>Purpose:</b> Classify edentulous patterns for RPD design.</li>
<li><b>Applegate:</b> Added modification rules (none for Class IV).</li>
</ul>",20,,
What is the primary purpose of rest seats in a removable partial denture (RPD)?,Support,Stability,Retention,Aesthetics,1,"<b>Purpose of Rest Seats in Removable Partial Dentures</b><br><br>
<b>Overview:</b><br>
A <b>rest seat</b> is prepared on an abutment tooth to receive the rest component of an RPD.  
Its primary role is <b>vertical support</b>, directing occlusal forces along the long axis of the tooth.<br><br>
<b>Key Points:</b><br>
<ul>
<li>Prevents denture from moving tissue-ward under load.</li>
<li>Transfers forces to abutment teeth for stability.</li>
<li>Maintains occlusal relationships and prevents tissue impingement.</li>
</ul><br>
<b>Support vs. Other Functions:</b><br>
<ul>
<li><b>Support:</b> Rests and rest seats.</li>
<li><b>Stability:</b> Guide planes and rigid connectors.</li>
<li><b>Retention:</b> Clasps engaging undercuts.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Main function:</b> Support.</li>
<li><b>Design:</b> Directs occlusal load along tooth’s long axis.</li>
</ul>",20,,
What is the most common cause of a gag reflex in a patient wearing new complete dentures?,Improper centric relation,Overextended posterior border of the maxillary denture,Excessive occlusal vertical dimension,Underextended lingual flange of the mandibular denture,2,"<b>Gag Reflex in Denture Patients</b><br><br>
A gag reflex commonly occurs when the posterior border of a maxillary denture extends too far back, contacting the <b>soft palate</b> beyond the <b>vibrating line</b>.  
This overstimulation of the movable soft palate triggers a reflexive gagging response.<br><br>
<b>Key Concept:</b><br>
<ul>
<li>The <b>vibrating line</b> marks the junction of the hard and soft palate.</li>
<li>The denture should terminate <b>just anterior to this line</b> to achieve a proper seal without touching movable tissue.</li>
<li>Extension too far posteriorly → <b>gagging and discomfort</b>.</li>
</ul><br>
<b>Other Common Denture Complications:</b><br>
<ul>
<li><b>Sore throat:</b> Mandibular overextension distally.</li>
<li><b>Loss of retention:</b> Underextended borders or inadequate seal.</li>
<li><b>Soreness of ridge:</b> Overpressure or poor tissue adaptation.</li>
<li><b>Speech difficulty:</b> Over-thick palatal area or improper tooth position.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Main cause of gagging:</b> Overextended posterior border beyond vibrating line.</li>
<li><b>Fix:</b> Shorten border to stop at vibrating line.</li>
<li><b>Location:</b> Between hard and soft palate junction.</li>
</ul>",20,,
"A patient was recently given complete dentures for both jaws. Within a few days, she complained of cheek biting. What is the most likely reason?",Increased vertical dimension of occlusion (VDO),Decreased vertical dimension of occlusion (VDO),Excessive horizontal overlap (overjet),Posterior teeth set too far lingually,2,"<b>Cheek Biting in Complete Denture Patients</b><br><br>
Cheek biting occurs most often due to a <b>decrease in vertical dimension of occlusion (VDO)</b> or improper tooth positioning.<br><br>
<b>Mechanism:</b><br>
<ul>
<li>When VDO is reduced, the <b>buccal mucosa folds inward</b>, allowing it to get caught between teeth.</li>
<li>Posterior teeth placed too far buccally also increase soft tissue interference.</li>
</ul><br>
<b>Management:</b><br>
<ul>
<li>Re-establish proper <b>VDO</b>.</li>
<li>Recontour buccal surfaces to guide cheeks away.</li>
<li>Check occlusal contacts and harmony.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Main cause:</b> Decreased VDO or buccal tooth placement.</li>
<li><b>Correction:</b> Adjust VDO and contour polished surfaces.</li>
</ul>",20,,
A patient with a complete mandibular denture complains of a localized burning sensation in the lower ridge region. What is the most likely cause?,Pressure on the mental foramen,Fungal infection (Candida albicans),Excessive occlusal vertical dimension,Poor saliva flow causing mucosal irritation,1,"<b>Localized Burning Sensation Under Mandibular Denture</b><br><br>
A <b>burning or sharp pain</b localized in the mandibular premolar region usually results from <b>pressure on the mental foramen</b> caused by ridge resorption.<br><br>
<b>Mechanism:</b><br>
<ul>
<li>As the ridge resorbs, the <b>mental nerve</b> becomes superficial.</li>
<li>The denture base compresses the nerve, producing <b>burning or tingling pain</b>.</li>
</ul><br>
<b>Management:</b><br>
<ul>
<li>Relieve pressure in the foramen area.</li>
<li>Rebase or reline denture for better adaptation.</li>
<li>Consider <b>implant-supported overdenture</b> for severe resorption.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Most likely cause:</b> Pressure on the mental foramen.</li>
<li><b>Common in:</b> Severely resorbed ridges.</li>
<li><b>Treatment:</b> Relieve denture pressure and adjust fit.</li>
</ul>",20,,
What feature of a crown preparation helps prevent fracture in a lithium disilicate crown?,Divergent walls,Shoulder preparation,Rounded internal line angles,Chamfer margin,3,"<b>Preventing Fracture in Lithium Disilicate Crowns</b><br><br>
Lithium disilicate crowns are strong but brittle. <b>Rounded internal line angles</b> help distribute stress evenly and reduce crack propagation.<br><br>
<b>Preparation Guidelines:</b><br>
<ul>
<li>Axial reduction: 1.0–1.5 mm.</li>
<li>Occlusal reduction: 1.5–2.0 mm.</li>
<li>Finish line: Shoulder or deep chamfer with smooth internal angle.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Prevents fracture:</b> Rounded internal line angles.</li>
<li><b>Reason:</b> Reduces stress concentration within ceramic.</li>
<li><b>Other requirements:</b> Uniform reduction and smooth finish lines.</li>
</ul>",20,,
What is the ideal ferrule length for a crown preparation to provide optimal resistance and fracture strength?,1 mm,1.5 mm,2 mm,3 mm,3,"<b>The Ferrule Effect in Crown Preparations</b><br><br>
A <b>ferrule</b> is a band of tooth structure encircling the cervical portion of a preparation that enhances <b>resistance and fracture strength</b>, especially in endodontically treated teeth.<br><br>
<b>Ideal Ferrule Design:</b><br>
<ul>
<li><b>Height:</b> At least <b>2 mm</b> of sound tooth structure circumferentially above the margin.</li>
<li><b>Thickness:</b> Minimum 1 mm of dentin wall thickness.</li>
<li><b>Finish line:</b> On sound tooth structure (not on core).</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Ideal ferrule height:</b> 2 mm.</li>
<li><b>Effect:</b> Improves fracture resistance and retention.</li>
<li><b>Without ferrule:</b> Tooth more prone to fracture.</li>
</ul>",20,,
"When preparing a post and core, what is the most important factor to consider for long-term success?",Post length,Post diameter,Remaining tooth structure,Type of luting cement,3,"<b>Post and Core Design – Key Determinant of Success</b><br><br>
The <b>amount of remaining tooth structure</b> is the most critical factor for success.  
Posts do not strengthen the tooth—they only retain the core.<br><br>
<b>Key Principles:</b><br>
<ul>
<li>Preserve maximum dentin, especially the cervical ferrule area.</li>
<li><b>Ferrule:</b> At least 2 mm of circumferential tooth structure for resistance.</li>
<li>Every millimeter of remaining dentin increases fracture resistance.</li>
</ul><br>
<b>High-Yield Summary:</b><br>
<ul>
<li><b>Most important factor:</b> Remaining tooth structure (ferrule effect).</li>
<li><b>Posts</b> retain the core—they do not reinforce the root.</li>
<li><b>Goal:</b> Preserve dentin and achieve a 2 mm ferrule.</li>
</ul>",20,,
